,Item_Number,file,Correct_Category,Estimated_Category,Max_Softmax_Value,Likelihood,In-vs-Out,In-Likelihood,Out-Likelihood,Estimated-In-vs-Out,Category_Likelihood_Average,Category_Likelihood_Stdev,Category_Sample_Count
0,13,84.png,leopard,leopard,0.9995686411857605,5.363067626953125,In,5.363067626953125,NA,In,-19.73221206665039,4.726110458374023,500.0
0,14,68.png,lion,lion,0.593254566192627,-3.92718505859375,In,-3.92718505859375,NA,In,-11.824612617492676,6.109537124633789,500.0
0,15,40.png,motorcycle,motorcycle,1.0,-20.717071533203125,In,-20.717071533203125,NA,In,-25.188827514648438,4.886882781982422,500.0
0,16,41.png,tank,clock,0.9962425231933594,-24.116851806640625,In,-24.116851806640625,NA,Out,11.511752128601074,8.663902282714844,500.0
0,17,73.png,flatfish,flatfish,0.7730250358581543,-24.635101318359375,In,-24.635101318359375,NA,In,-29.095705032348633,4.381448745727539,499.0
0,18,34.png,tractor,tractor,0.9999715089797974,-37.840911865234375,In,-37.840911865234375,NA,Out,-26.066312789916992,4.362990856170654,499.0
0,19,56.png,butterfly,sunflowers,0.5702239274978638,-36.36726379394531,Out,NA,-36.36726379394531,Out,-29.804105758666992,5.164310932159424,499.0
0,20,74.png,bridge,hamster,0.8290977478027344,-23.938461303710938,Out,NA,-23.938461303710938,In,-29.36024284362793,4.207229137420654,500.0
0,21,99.png,wardrobe,wardrobe,0.9999686479568481,-8.422866821289062,In,-8.422866821289062,NA,In,-28.39855194091797,4.157048225402832,500.0
0,22,96.png,kangaroo,kangaroo,0.999993085861206,-37.37066650390625,In,-37.37066650390625,NA,Out,-18.427873611450195,6.4087443351745605,500.0
0,23,48.png,snail,lizard,0.9516506195068359,0.7432403564453125,In,0.7432403564453125,NA,In,-22.670621871948242,4.857696533203125,499.0
0,24,22.png,spider,spider,0.9408151507377625,-31.864837646484375,In,-31.864837646484375,NA,Out,-23.826330184936523,5.917525768280029,500.0
0,25,33.png,pine,pine,0.4665059447288513,-28.490707397460938,In,-28.490707397460938,NA,Out,-27.232725143432617,4.399219036102295,500.0
0,26,21.png,tulips,roses,0.8967975974082947,-24.09954833984375,In,-24.09954833984375,NA,In,-32.52500534057617,4.714954853057861,500.0
0,27,13.png,elephant,elephant,0.9998682737350464,-35.25384521484375,In,-35.25384521484375,NA,Out,-29.06341552734375,4.017735004425049,500.0
0,28,60.png,maple,maple,0.99997878074646,-49.755126953125,In,-49.755126953125,NA,Out,-26.0412540435791,4.388068199157715,499.0
0,29,27.png,dinosaur,whale,0.8788540363311768,6.9671478271484375,In,6.9671478271484375,NA,In,-13.156708717346191,5.655272960662842,500.0
0,30,69.png,chimpanzee,chimpanzee,1.0,62.58190155029297,In,62.58190155029297,NA,In,9.814994812011719,8.861466407775879,500.0
0,31,24.png,bottles,table,0.9846396446228027,-60.072906494140625,Out,NA,-60.072906494140625,Out,-26.941204071044922,4.800146579742432,499.0
0,32,47.png,telephone,telephone,0.9999977350234985,-41.68113708496094,In,-41.68113708496094,NA,Out,-22.083080291748047,4.413056373596191,500.0
0,33,39.png,oak,oak,0.693517804145813,-48.547119140625,In,-48.547119140625,NA,Out,-21.606582641601562,3.2677195072174072,500.0
0,34,7.png,beetle,orchids,0.7640066146850586,-46.1318359375,Out,NA,-46.1318359375,Out,-33.571441650390625,4.692233562469482,500.0
0,35,5.png,bear,lion,0.999980092048645,-20.665206909179688,Out,NA,-20.665206909179688,Out,-11.824612617492676,6.109537124633789,500.0
0,36,10.png,beaver,trout,0.9952799081802368,-2.52801513671875,Out,NA,-2.52801513671875,In,-23.150833129882812,4.41969633102417,500.0
0,37,57.png,otter,otter,0.9197150468826294,-14.180130004882812,In,-14.180130004882812,NA,In,-26.42733383178711,5.204813480377197,500.0
0,38,2.png,palm,palm,1.0,-38.39445495605469,In,-38.39445495605469,NA,Out,-28.884105682373047,4.149149417877197,500.0
0,39,28.png,mountain,pine,0.7049490809440613,-18.074554443359375,In,-18.074554443359375,NA,In,-27.232725143432617,4.399219036102295,500.0
0,40,8.png,crocodile,crocodile,0.9999980926513672,-12.628341674804688,In,-12.628341674804688,NA,Out,-9.916327476501465,4.975369930267334,500.0
0,41,30.png,bed,computer keyboard,1.0,-22.465347290039062,Out,NA,-22.465347290039062,Out,-17.066871643066406,5.283982276916504,500.0
0,42,52.png,camel,couch,0.8510094881057739,-30.752609252929688,Out,NA,-30.752609252929688,Out,-21.079483032226562,5.581104278564453,500.0
0,43,4.png,dolphin,elephant,0.9334858059883118,-71.49406433105469,In,-71.49406433105469,NA,Out,-29.06341552734375,4.017735004425049,500.0
0,44,13.png,motorcycle,motorcycle,0.9983798265457153,-19.054244995117188,In,-19.054244995117188,NA,In,-25.188827514648438,4.886882781982422,500.0
0,45,9.png,pine,pine,0.9999526739120483,-15.269439697265625,In,-15.269439697265625,NA,In,-27.232725143432617,4.399219036102295,500.0
0,46,45.png,possum,possum,0.9831296801567078,-28.635086059570312,In,-28.635086059570312,NA,Out,-18.71575164794922,4.381153106689453,500.0
0,47,3.png,mountain,mountain,0.4653490483760834,-31.241256713867188,In,-31.241256713867188,NA,Out,-15.634451866149902,4.625983238220215,500.0
0,48,66.png,mouse,squirrel,0.6625963449478149,-30.165679931640625,In,-30.165679931640625,NA,Out,-21.983522415161133,4.989099502563477,500.0
0,49,0.png,shrew,chimpanzee,0.5459854006767273,-61.93406677246094,In,-61.93406677246094,NA,Out,9.814994812011719,8.861466407775879,500.0
0,50,50.png,couch,couch,0.999916672706604,-39.76690673828125,In,-39.76690673828125,NA,Out,-21.079483032226562,5.581104278564453,500.0
0,51,5.png,mountain,mountain,0.9505798816680908,-13.78240966796875,In,-13.78240966796875,NA,In,-15.634451866149902,4.625983238220215,500.0
0,52,27.png,girl,girl,0.946657121181488,-10.323043823242188,In,-10.323043823242188,NA,In,-16.776147842407227,5.298877239227295,500.0
0,53,81.png,cattle,tank,0.9725059866905212,-29.802337646484375,Out,NA,-29.802337646484375,In,-33.077022552490234,4.047921657562256,500.0
0,54,67.png,worm,worm,0.9999995231628418,4.6465606689453125,In,4.6465606689453125,NA,In,-21.487211227416992,6.051513671875,499.0
0,55,29.png,cans,train,0.9978678226470947,-50.236785888671875,Out,NA,-50.236785888671875,Out,-26.38922691345215,4.840188026428223,499.0
0,56,57.png,kangaroo,kangaroo,1.0,-23.24560546875,In,-23.24560546875,NA,Out,-18.427873611450195,6.4087443351745605,500.0
0,57,85.png,plain,plain,0.9998893737792969,-3.843902587890625,In,-3.843902587890625,NA,In,-22.751506805419922,4.115305423736572,499.0
0,58,40.png,house,lion,0.9957055449485779,-12.924362182617188,In,-12.924362182617188,NA,In,-11.824612617492676,6.109537124633789,500.0
0,59,36.png,lawn-mower,lawn-mower,0.9982359409332275,-14.15966796875,In,-14.15966796875,NA,In,-17.218751907348633,4.929111003875732,499.0
0,60,12.png,elephant,rabbit,0.38141685724258423,-19.450790405273438,In,-19.450790405273438,NA,In,-20.981691360473633,4.4952826499938965,500.0
0,61,96.png,hamster,hamster,0.9999988079071045,-43.59858703613281,In,-43.59858703613281,NA,Out,-29.36024284362793,4.207229137420654,500.0
0,62,8.png,motorcycle,motorcycle,0.4874447286128998,-38.2017822265625,In,-38.2017822265625,NA,Out,-25.188827514648438,4.886882781982422,500.0
0,63,83.png,rocket,rocket,1.0,-8.203857421875,In,-8.203857421875,NA,In,-9.295358657836914,6.528632164001465,498.0
0,64,1.png,bed,computer keyboard,0.9999042749404907,-0.1090087890625,Out,NA,-0.1090087890625,In,-17.066871643066406,5.283982276916504,500.0
0,65,84.png,bear,girl,0.6234852075576782,-25.336334228515625,Out,NA,-25.336334228515625,Out,-16.776147842407227,5.298877239227295,500.0
0,66,94.png,chimpanzee,chimpanzee,1.0,27.404647827148438,In,27.404647827148438,NA,In,9.814994812011719,8.861466407775879,500.0
0,67,46.png,snail,snail,0.9941295385360718,-12.631210327148438,In,-12.631210327148438,NA,In,-27.219690322875977,4.228353977203369,500.0
0,68,99.png,television,television,0.9554757475852966,-43.654998779296875,In,-43.654998779296875,NA,Out,-29.29294204711914,4.819297790527344,499.0
0,69,25.png,woman,couch,0.8091258406639099,-43.643707275390625,In,-43.643707275390625,NA,Out,-21.079483032226562,5.581104278564453,500.0
0,70,44.png,aquarium fish,trout,0.9657251238822937,-33.37693786621094,Out,NA,-33.37693786621094,Out,-23.150833129882812,4.41969633102417,500.0
0,71,95.png,skyscraper,skyscraper,0.9999986886978149,-53.67942810058594,In,-53.67942810058594,NA,Out,-26.345703125,4.597774982452393,499.0
0,72,73.png,man,cups,0.9996533393859863,-60.7821044921875,In,-60.7821044921875,NA,Out,-25.841064453125,3.5775413513183594,497.0
0,73,79.png,plates,plates,0.9999986886978149,-18.703445434570312,In,-18.703445434570312,NA,In,-24.89483642578125,4.485196113586426,499.0
0,74,91.png,willow,willow,0.6805242300033569,-31.067062377929688,In,-31.067062377929688,NA,In,-30.449003219604492,3.966383218765259,500.0
0,75,97.png,squirrel,wolf,0.9360659122467041,-19.762588500976562,In,-19.762588500976562,NA,Out,-10.73868465423584,5.345759391784668,499.0
0,76,96.png,cloud,cloud,0.999980092048645,8.901321411132812,In,8.901321411132812,NA,In,2.7438650131225586,8.449994087219238,500.0
0,77,90.png,table,table,0.9999884366989136,-20.851654052734375,In,-20.851654052734375,NA,In,-26.941204071044922,4.800146579742432,499.0
0,78,28.png,seal,seal,0.9997163414955139,-26.633132934570312,In,-26.633132934570312,NA,Out,-24.999483108520508,4.5774078369140625,499.0
0,79,51.png,beaver,raccoon,0.9390618205070496,-55.43231201171875,Out,NA,-55.43231201171875,Out,-18.972118377685547,4.7632527351379395,500.0
0,80,60.png,ray,ray,0.9999955892562866,-21.258270263671875,In,-21.258270263671875,NA,In,-21.74357032775879,5.767826557159424,500.0
0,81,92.png,chair,chair,0.9998307228088379,9.3519287109375,In,9.3519287109375,NA,Out,31.810848236083984,8.783584594726562,499.0
0,82,2.png,castle,hamster,0.9987045526504517,-24.856842041015625,Out,NA,-24.856842041015625,In,-29.36024284362793,4.207229137420654,500.0
0,83,87.png,wardrobe,streetcar,0.9486451148986816,-27.268753051757812,In,-27.268753051757812,NA,In,-27.51404571533203,4.346744537353516,499.0
0,84,35.png,pine,mountain,0.9999998807907104,-52.147308349609375,In,-52.147308349609375,NA,Out,-15.634451866149902,4.625983238220215,500.0
0,85,64.png,raccoon,raccoon,0.9999994039535522,-11.541793823242188,In,-11.541793823242188,NA,In,-18.972118377685547,4.7632527351379395,500.0
0,86,62.png,tank,tank,0.553062915802002,-23.205154418945312,In,-23.205154418945312,NA,In,-33.077022552490234,4.047921657562256,500.0
0,87,52.png,bed,table,0.951948881149292,-30.021636962890625,Out,NA,-30.021636962890625,Out,-26.941204071044922,4.800146579742432,499.0
0,88,42.png,dinosaur,otter,0.6123125553131104,-13.950302124023438,In,-13.950302124023438,NA,In,-26.42733383178711,5.204813480377197,500.0
0,89,32.png,plain,plain,0.9816687703132629,-25.686172485351562,In,-25.686172485351562,NA,Out,-22.751506805419922,4.115305423736572,499.0
0,90,70.png,television,television,0.9999669790267944,-38.63758850097656,In,-38.63758850097656,NA,Out,-29.29294204711914,4.819297790527344,499.0
0,91,89.png,telephone,telephone,0.9982811212539673,-24.027603149414062,In,-24.027603149414062,NA,Out,-22.083080291748047,4.413056373596191,500.0
0,92,69.png,flatfish,flatfish,0.5516703724861145,-45.2314453125,In,-45.2314453125,NA,Out,-29.095705032348633,4.381448745727539,499.0
0,93,95.png,man,man,0.9365881681442261,-30.828216552734375,In,-30.828216552734375,NA,In,-38.154014587402344,5.805813789367676,498.0
0,94,46.png,palm,palm,0.9999998807907104,-24.241867065429688,In,-24.241867065429688,NA,In,-28.884105682373047,4.149149417877197,500.0
0,95,68.png,flatfish,pine,0.5732113122940063,-6.0031585693359375,In,-6.0031585693359375,NA,In,-27.232725143432617,4.399219036102295,500.0
0,96,25.png,chimpanzee,chimpanzee,0.9999997615814209,-16.120925903320312,In,-16.120925903320312,NA,Out,9.814994812011719,8.861466407775879,500.0
0,97,66.png,chair,computer keyboard,0.9828031063079834,-18.771286010742188,In,-18.771286010742188,NA,Out,-17.066871643066406,5.283982276916504,500.0
0,98,11.png,man,fox,0.9969184398651123,-37.316131591796875,In,-37.316131591796875,NA,In,-36.36833953857422,5.076505661010742,499.0
0,99,90.png,cups,wolf,0.5602245330810547,-23.923873901367188,In,-23.923873901367188,NA,Out,-10.73868465423584,5.345759391784668,499.0
0,100,68.png,telephone,telephone,0.9998929500579834,-13.583328247070312,In,-13.583328247070312,NA,In,-22.083080291748047,4.413056373596191,500.0
0,101,70.png,cloud,cloud,0.8637639880180359,-20.267715454101562,In,-20.267715454101562,NA,Out,2.7438650131225586,8.449994087219238,500.0
0,102,46.png,hamster,streetcar,0.9972956776618958,-32.10371398925781,In,-32.10371398925781,NA,Out,-27.51404571533203,4.346744537353516,499.0
0,103,51.png,crab,seal,0.4879477322101593,-25.838607788085938,In,-25.838607788085938,NA,In,-24.999483108520508,4.5774078369140625,499.0
0,104,4.png,tulips,tulips,0.9389510154724121,-52.96134948730469,In,-52.96134948730469,NA,Out,-33.08617401123047,5.19976282119751,498.0
0,105,13.png,mountain,mountain,0.8976476788520813,-17.772476196289062,In,-17.772476196289062,NA,Out,-15.634451866149902,4.625983238220215,500.0
0,106,45.png,crocodile,crocodile,0.5558306574821472,-23.533798217773438,In,-23.533798217773438,NA,Out,-9.916327476501465,4.975369930267334,500.0
0,107,32.png,pickup truck,pickup truck,0.7926427721977234,-10.751327514648438,In,-10.751327514648438,NA,In,-20.819408416748047,4.42878532409668,499.0
0,108,77.png,roses,roses,0.9999990463256836,-48.17140197753906,In,-48.17140197753906,NA,Out,-32.52500534057617,4.714954853057861,500.0
0,109,10.png,woman,woman,0.48928263783454895,-43.305206298828125,In,-43.305206298828125,NA,Out,-38.55459976196289,5.135137557983398,498.0
0,110,88.png,tractor,skyscraper,0.9000775814056396,-10.870254516601562,In,-10.870254516601562,NA,In,-26.345703125,4.597774982452393,499.0
0,111,54.png,seal,seal,0.6482090353965759,-32.942169189453125,In,-32.942169189453125,NA,Out,-24.999483108520508,4.5774078369140625,499.0
0,112,21.png,pickup truck,pickup truck,0.9999898672103882,-10.066741943359375,In,-10.066741943359375,NA,In,-20.819408416748047,4.42878532409668,499.0
0,113,86.png,lawn-mower,lawn-mower,1.0,4.53704833984375,In,4.53704833984375,NA,In,-17.218751907348633,4.929111003875732,499.0
0,114,10.png,lamp,computer keyboard,0.9895169138908386,-42.939544677734375,In,-42.939544677734375,NA,Out,-17.066871643066406,5.283982276916504,500.0
0,115,55.png,spider,spider,0.9813100099563599,10.535392761230469,In,10.535392761230469,NA,In,-23.826330184936523,5.917525768280029,500.0
0,116,35.png,porcupine,pears,0.9800901412963867,-77.74324035644531,In,-77.74324035644531,NA,Out,-28.862125396728516,4.594079971313477,499.0
0,117,22.png,palm,hamster,0.9996423721313477,-38.04896545410156,In,-38.04896545410156,NA,Out,-29.36024284362793,4.207229137420654,500.0
0,118,42.png,shrew,shrew,0.9985045194625854,-15.949264526367188,In,-15.949264526367188,NA,In,-23.959043502807617,4.811082363128662,500.0
0,119,70.png,trout,trout,1.0,-24.584564208984375,In,-24.584564208984375,NA,Out,-23.150833129882812,4.41969633102417,500.0
0,120,0.png,palm,palm,0.6322920322418213,-19.15386962890625,In,-19.15386962890625,NA,In,-28.884105682373047,4.149149417877197,500.0
0,121,89.png,bed,television,0.928878903388977,-41.30857849121094,Out,NA,-41.30857849121094,Out,-29.29294204711914,4.819297790527344,499.0
0,122,59.png,poppies,pears,0.748978853225708,-15.550643920898438,In,-15.550643920898438,NA,In,-28.862125396728516,4.594079971313477,499.0
0,123,10.png,hamster,streetcar,0.9969761371612549,-35.33575439453125,In,-35.33575439453125,NA,Out,-27.51404571533203,4.346744537353516,499.0
0,124,77.png,leopard,leopard,0.6295639276504517,-28.529052734375,In,-28.529052734375,NA,Out,-19.73221206665039,4.726110458374023,500.0
0,125,45.png,flatfish,sea,0.9972501397132874,-35.60679626464844,In,-35.60679626464844,NA,Out,-24.380407333374023,4.902921676635742,500.0
0,126,38.png,fox,fox,1.0,-55.0546875,In,-55.0546875,NA,Out,-36.36833953857422,5.076505661010742,499.0
0,127,27.png,apples,pears,0.9997193217277527,-25.431121826171875,Out,NA,-25.431121826171875,In,-28.862125396728516,4.594079971313477,499.0
0,128,14.png,bowls,crocodile,0.9996410608291626,-13.479385375976562,Out,NA,-13.479385375976562,Out,-9.916327476501465,4.975369930267334,500.0
0,129,27.png,lion,lion,0.9999520778656006,9.114715576171875,In,9.114715576171875,NA,In,-11.824612617492676,6.109537124633789,500.0
0,130,47.png,rabbit,rabbit,0.9994269609451294,-23.65289306640625,In,-23.65289306640625,NA,Out,-20.981691360473633,4.4952826499938965,500.0
0,131,66.png,beaver,shrew,0.9970012307167053,-62.010711669921875,Out,NA,-62.010711669921875,Out,-23.959043502807617,4.811082363128662,500.0
0,132,82.png,shrew,shrew,0.8164169788360596,-33.06298828125,In,-33.06298828125,NA,Out,-23.959043502807617,4.811082363128662,500.0
0,133,36.png,plates,plates,0.9995494484901428,-17.006912231445312,In,-17.006912231445312,NA,In,-24.89483642578125,4.485196113586426,499.0
0,134,44.png,turtle,lizard,0.6527756452560425,-32.977813720703125,In,-32.977813720703125,NA,Out,-22.670621871948242,4.857696533203125,499.0
0,135,92.png,raccoon,raccoon,0.5045492649078369,-12.8994140625,In,-12.8994140625,NA,In,-18.972118377685547,4.7632527351379395,500.0
0,136,67.png,chair,chair,0.999995231628418,44.427215576171875,In,44.427215576171875,NA,In,31.810848236083984,8.783584594726562,499.0
0,137,38.png,possum,tiger,0.902755081653595,-26.4642333984375,In,-26.4642333984375,NA,Out,-21.21476936340332,5.275651454925537,499.0
0,138,94.png,motorcycle,motorcycle,1.0,-11.74273681640625,In,-11.74273681640625,NA,In,-25.188827514648438,4.886882781982422,500.0
0,139,61.png,mushrooms,mushrooms,1.0,-40.8223876953125,In,-40.8223876953125,NA,Out,-24.507596969604492,4.159605026245117,500.0
0,140,19.png,lion,lion,1.0,19.416488647460938,In,19.416488647460938,NA,In,-11.824612617492676,6.109537124633789,500.0
0,141,51.png,camel,raccoon,0.6978090405464172,-10.40545654296875,Out,NA,-10.40545654296875,In,-18.972118377685547,4.7632527351379395,500.0
0,142,5.png,dinosaur,whale,0.6637126207351685,7.305999755859375,In,7.305999755859375,NA,In,-13.156708717346191,5.655272960662842,500.0
0,143,58.png,plates,crocodile,0.9670056700706482,-3.747833251953125,In,-3.747833251953125,NA,In,-9.916327476501465,4.975369930267334,500.0
0,144,45.png,cans,raccoon,0.9909477829933167,-37.28910827636719,Out,NA,-37.28910827636719,Out,-18.972118377685547,4.7632527351379395,500.0
0,145,24.png,caterpillar,lobster,0.5277857780456543,-36.58154296875,Out,NA,-36.58154296875,Out,-32.254920959472656,5.499017238616943,499.0
0,146,83.png,cockroach,cockroach,1.0,14.051101684570312,In,14.051101684570312,NA,In,4.0243048667907715,8.63873291015625,499.0
0,147,64.png,roses,roses,0.9996514320373535,-20.337310791015625,In,-20.337310791015625,NA,In,-32.52500534057617,4.714954853057861,500.0
0,148,34.png,seal,otter,0.31007570028305054,-25.844940185546875,In,-25.844940185546875,NA,In,-26.42733383178711,5.204813480377197,500.0
0,149,20.png,pickup truck,pickup truck,1.0,-11.666168212890625,In,-11.666168212890625,NA,In,-20.819408416748047,4.42878532409668,499.0
0,150,62.png,lion,lion,0.9999998807907104,-32.4185791015625,In,-32.4185791015625,NA,Out,-11.824612617492676,6.109537124633789,500.0
0,151,71.png,motorcycle,motorcycle,0.9999830722808838,-45.395599365234375,In,-45.395599365234375,NA,Out,-25.188827514648438,4.886882781982422,500.0
0,152,81.png,shark,shark,0.9992567896842957,-43.30476379394531,In,-43.30476379394531,NA,Out,-13.17357063293457,5.9391303062438965,500.0
0,153,34.png,bridge,rocket,0.7323819994926453,-33.8890380859375,Out,NA,-33.8890380859375,Out,-9.295358657836914,6.528632164001465,498.0
0,154,87.png,lion,pears,0.9534022808074951,-30.580734252929688,In,-30.580734252929688,NA,Out,-28.862125396728516,4.594079971313477,499.0
0,155,94.png,spider,spider,0.8015382885932922,-6.3477020263671875,In,-6.3477020263671875,NA,In,-23.826330184936523,5.917525768280029,500.0
0,156,77.png,bicycle,motorcycle,0.4521546959877014,-33.37117004394531,Out,NA,-33.37117004394531,Out,-25.188827514648438,4.886882781982422,500.0
0,157,62.png,pickup truck,pickup truck,0.9927425384521484,-31.671249389648438,In,-31.671249389648438,NA,Out,-20.819408416748047,4.42878532409668,499.0
0,158,60.png,plain,plain,0.9961233735084534,-20.659378051757812,In,-20.659378051757812,NA,In,-22.751506805419922,4.115305423736572,499.0
0,159,73.png,tractor,tractor,0.999985933303833,-17.350845336914062,In,-17.350845336914062,NA,In,-26.066312789916992,4.362990856170654,499.0
0,160,32.png,man,man,1.0,-89.86700439453125,In,-89.86700439453125,NA,Out,-38.154014587402344,5.805813789367676,498.0
0,161,73.png,mouse,possum,0.9570416808128357,-11.561187744140625,In,-11.561187744140625,NA,In,-18.71575164794922,4.381153106689453,500.0
0,162,15.png,bowls,ray,0.369586318731308,-28.23809814453125,Out,NA,-28.23809814453125,Out,-21.74357032775879,5.767826557159424,500.0
0,163,64.png,pears,pears,0.9923991560935974,-20.489028930664062,In,-20.489028930664062,NA,In,-28.862125396728516,4.594079971313477,499.0
0,164,53.png,computer keyboard,computer keyboard,0.993943989276886,-10.973068237304688,In,-10.973068237304688,NA,In,-17.066871643066406,5.283982276916504,500.0
0,165,84.png,cans,skyscraper,0.768096387386322,-5.3905487060546875,Out,NA,-5.3905487060546875,In,-26.345703125,4.597774982452393,499.0
0,166,4.png,porcupine,porcupine,0.9999954700469971,-22.56805419921875,In,-22.56805419921875,NA,Out,-20.02762222290039,3.9228436946868896,500.0
0,167,76.png,leopard,leopard,0.9992125034332275,-31.904266357421875,In,-31.904266357421875,NA,Out,-19.73221206665039,4.726110458374023,500.0
0,168,54.png,spider,lizard,0.4655127227306366,-30.804534912109375,In,-30.804534912109375,NA,Out,-22.670621871948242,4.857696533203125,499.0
0,169,80.png,clock,clock,1.0,-56.07820129394531,In,-56.07820129394531,NA,Out,11.511752128601074,8.663902282714844,500.0
0,170,32.png,shrew,lizard,0.3778614103794098,-43.55723571777344,In,-43.55723571777344,NA,Out,-22.670621871948242,4.857696533203125,499.0
0,171,30.png,rocket,rocket,0.9805269241333008,-27.658950805664062,In,-27.658950805664062,NA,Out,-9.295358657836914,6.528632164001465,498.0
0,172,47.png,porcupine,skunk,0.5532346367835999,-29.852554321289062,In,-29.852554321289062,NA,Out,-10.992105484008789,6.1808600425720215,499.0
0,173,77.png,girl,girl,0.9999985694885254,-13.7060546875,In,-13.7060546875,NA,In,-16.776147842407227,5.298877239227295,500.0
0,174,12.png,rabbit,rabbit,0.9999986886978149,7.7245941162109375,In,7.7245941162109375,NA,In,-20.981691360473633,4.4952826499938965,500.0
0,175,93.png,cups,cups,0.9999245405197144,-27.735626220703125,In,-27.735626220703125,NA,Out,-25.841064453125,3.5775413513183594,497.0
0,176,9.png,girl,girl,0.9999995231628418,-11.377578735351562,In,-11.377578735351562,NA,In,-16.776147842407227,5.298877239227295,500.0
0,177,4.png,cups,lizard,0.9997631907463074,-26.945831298828125,In,-26.945831298828125,NA,Out,-22.670621871948242,4.857696533203125,499.0
0,178,94.png,plain,plain,0.7988626956939697,-29.4150390625,In,-29.4150390625,NA,Out,-22.751506805419922,4.115305423736572,499.0
0,179,92.png,worm,worm,0.9994946718215942,-22.03369140625,In,-22.03369140625,NA,In,-21.487211227416992,6.051513671875,499.0
0,180,97.png,bee,orchids,0.9078555703163147,-21.823959350585938,Out,NA,-21.823959350585938,In,-33.571441650390625,4.692233562469482,500.0
0,181,27.png,bus,pickup truck,0.9999567270278931,-17.391220092773438,Out,NA,-17.391220092773438,In,-20.819408416748047,4.42878532409668,499.0
0,182,33.png,road,road,0.44791170954704285,-63.91859436035156,In,-63.91859436035156,NA,Out,-19.90183448791504,4.095028877258301,500.0
0,183,54.png,lizard,lizard,0.9999977350234985,-16.176223754882812,In,-16.176223754882812,NA,In,-22.670621871948242,4.857696533203125,499.0
0,184,77.png,bridge,pickup truck,0.5204005837440491,-34.53883361816406,Out,NA,-34.53883361816406,Out,-20.819408416748047,4.42878532409668,499.0
0,185,35.png,otter,otter,0.7185912132263184,-38.73951721191406,In,-38.73951721191406,NA,Out,-26.42733383178711,5.204813480377197,500.0
0,186,6.png,girl,girl,0.9999876022338867,-32.19776916503906,In,-32.19776916503906,NA,Out,-16.776147842407227,5.298877239227295,500.0
0,187,6.png,telephone,telephone,0.9998942613601685,-12.18853759765625,In,-12.18853759765625,NA,In,-22.083080291748047,4.413056373596191,500.0
0,188,9.png,bicycle,ray,0.5538428425788879,-15.039291381835938,Out,NA,-15.039291381835938,In,-21.74357032775879,5.767826557159424,500.0
0,189,62.png,kangaroo,kangaroo,0.999998927116394,-21.958969116210938,In,-21.958969116210938,NA,Out,-18.427873611450195,6.4087443351745605,500.0
0,190,64.png,train,train,0.973086953163147,-11.467086791992188,In,-11.467086791992188,NA,In,-26.38922691345215,4.840188026428223,499.0
0,191,17.png,whale,whale,0.9999567270278931,-15.438980102539062,In,-15.438980102539062,NA,Out,-13.156708717346191,5.655272960662842,500.0
0,192,85.png,whale,dinosaur,0.5706390738487244,-7.737762451171875,In,-7.737762451171875,NA,In,-11.278708457946777,6.072087287902832,500.0
0,193,76.png,woman,fox,0.7761312127113342,-31.742828369140625,In,-31.742828369140625,NA,In,-36.36833953857422,5.076505661010742,499.0
