,Item_Number,file,Correct_Category,Correct_Softmax_Value,Correct_Softmax_Index,Estimated_Category,Estimated_Category_Index,Estimated_Category_Strength,Max_Confidence_Index_Value,Calculated_Confidence,Correct_Confidence,Confidence_Score
21,53,ILSVRC2012_val_00000701.JPEG,swab,0.8332488536834717,840,"swab, swob, mop",840,0.8332488536834717,0,0.7582209706306458,0,0.7582209706306458
22,54,ILSVRC2012_val_00000157.JPEG,red fox,0.8522950410842896,277,"red fox, Vulpes vulpes",277,0.8522950410842896,0,0.7976869940757751,0,0.7976869940757751
23,56,ILSVRC2012_val_00000027.JPEG,white wolf,0.8490647673606873,270,"white wolf, Arctic wolf, Canis lupus tundrarum",270,0.8490647673606873,0,0.804916262626648,0,0.804916262626648
24,58,ILSVRC2012_val_00000340.JPEG,titi,0.8981634974479675,380,"titi, titi monkey",380,0.8981634974479675,0,0.8380635380744934,0,0.8380635380744934
25,61,ILSVRC2012_val_00001268.JPEG,snail,0.8561400771141052,113,snail,113,0.8561400771141052,0,0.8950397372245789,0,0.8950397372245789
26,64,ILSVRC2012_val_00000459.JPEG,backpack,0.7393419742584229,414,"backpack, back pack, knapsack, packsack, rucksack, haversack",414,0.7393419742584229,0,0.7621554732322693,0,0.7621554732322693
27,67,ILSVRC2012_val_00000413.JPEG,sunglass,0.05265288054943085,836,"sunglasses, dark glasses, shades",837,0.10305295884609222,0,0.9531193375587464,0,0.9531193375587464
28,68,ILSVRC2012_val_00000954.JPEG,coral fungus,0.5379910469055176,991,coral fungus,991,0.5379910469055176,0,0.7763599157333374,0,0.7763599157333374
29,69,ILSVRC2012_val_00000599.JPEG,beagle,0.8159257173538208,162,beagle,162,0.8159257173538208,0,0.8452396392822266,0,0.8452396392822266
30,70,ILSVRC2012_val_00000067.JPEG,tusker,0.7943687438964844,101,tusker,101,0.7943687438964844,0,0.7463633418083191,0,0.7463633418083191
31,71,ILSVRC2012_val_00000353.JPEG,cassette,0.6738473773002625,481,cassette,481,0.6738473773002625,0,0.8199563026428223,0,0.8199563026428223
32,72,ILSVRC2012_val_00000967.JPEG,stinkhorn,0.016331719234585762,994,gyromitra,993,0.2476021945476532,0,0.775849461555481,0,0.775849461555481
33,75,ILSVRC2012_val_00000326.JPEG,black-footed ferret,0.6016736030578613,359,"black-footed ferret, ferret, Mustela nigripes",359,0.6016736030578613,0,0.7367614507675171,0,0.7367614507675171
34,77,ILSVRC2012_val_00000711.JPEG,lemon,0.8047888278961182,951,lemon,951,0.8047888278961182,0,0.771942138671875,0,0.771942138671875
35,78,ILSVRC2012_val_00000871.JPEG,brown bear,0.8930334448814392,294,"brown bear, bruin, Ursus arctos",294,0.8930334448814392,0,0.859996497631073,0,0.859996497631073
36,79,ILSVRC2012_val_00000275.JPEG,remote control,0.8403357863426208,761,"remote control, remote",761,0.8403357863426208,0,0.8421630263328552,0,0.8421630263328552
37,80,ILSVRC2012_val_00000918.JPEG,puffer,0.8452131748199463,397,"puffer, pufferfish, blowfish, globefish",397,0.8452131748199463,0,0.8266345262527466,0,0.8266345262527466
38,84,ILSVRC2012_val_00000293.JPEG,tench,0.015749352052807808,0,sturgeon,394,0.720831036567688,0,0.8295661211013794,0,0.8295661211013794
39,87,ILSVRC2012_val_00001378.JPEG,guacamole,0.7925572395324707,924,guacamole,924,0.7925572395324707,0,0.8374558687210083,0,0.8374558687210083
40,89,ILSVRC2012_val_00000112.JPEG,pill bottle,0.7431490421295166,720,pill bottle,720,0.7431490421295166,0,0.8802326321601868,0,0.8802326321601868
41,90,ILSVRC2012_val_00000979.JPEG,ashcan,0.7384775876998901,412,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",412,0.7384775876998901,0,0.870410680770874,0,0.870410680770874
42,92,ILSVRC2012_val_00000650.JPEG,leopard,0.5477805733680725,288,"leopard, Panthera pardus",288,0.5477805733680725,0,0.7218409776687622,0,0.7218409776687622
43,93,ILSVRC2012_val_00000034.JPEG,ballplayer,0.7967851161956787,981,"ballplayer, baseball player",981,0.7967851161956787,0,0.8367746472358704,0,0.8367746472358704
44,96,ILSVRC2012_val_00000571.JPEG,lifeboat,0.8693190217018127,625,lifeboat,625,0.8693190217018127,0,0.8624652624130249,0,0.8624652624130249
45,99,ILSVRC2012_val_00000421.JPEG,rocking chair,0.8188129663467407,765,"rocking chair, rocker",765,0.8188129663467407,0,0.8332828879356384,0,0.8332828879356384
46,101,ILSVRC2012_val_00000224.JPEG,Irish setter,0.05212339013814926,213,golden retriever,207,0.8146734833717346,0,0.7740246057510376,0,0.7740246057510376
47,102,ILSVRC2012_val_00000546.JPEG,slug,0.7516049742698669,114,slug,114,0.7516049742698669,0,0.8192328214645386,0,0.8192328214645386
48,104,ILSVRC2012_val_00001177.JPEG,African elephant,0.8369427919387817,386,"African elephant, Loxodonta africana",386,0.8369427919387817,0,0.7395135164260864,0,0.7395135164260864
49,106,ILSVRC2012_val_00000761.JPEG,dishrag,0.029306169599294662,533,bath towel,434,0.4039910733699799,0,0.7560169696807861,0,0.7560169696807861
50,108,ILSVRC2012_val_00000614.JPEG,sax,0.003286367049440741,776,trombone,875,0.7182496190071106,0,0.7762653231620789,0,0.7762653231620789
51,109,ILSVRC2012_val_00000266.JPEG,slide rule,0.8655652403831482,798,"slide rule, slipstick",798,0.8655652403831482,0,0.8417106866836548,0,0.8417106866836548
52,114,ILSVRC2012_val_00000479.JPEG,trombone,0.8795639276504517,875,trombone,875,0.8795639276504517,0,0.7491015791893005,0,0.7491015791893005
53,115,ILSVRC2012_val_00001141.JPEG,Blenheim spaniel,0.830220103263855,156,Blenheim spaniel,156,0.830220103263855,0,0.7829133868217468,0,0.7829133868217468
54,116,ILSVRC2012_val_00000931.JPEG,recreational vehicle,0.8372684121131897,757,"recreational vehicle, RV, R.V.",757,0.8372684121131897,0,0.8151533007621765,0,0.8151533007621765
55,119,ILSVRC2012_val_00000723.JPEG,weasel,0.04274030029773712,356,mink,357,0.5964369773864746,0,0.8210746645927429,0,0.8210746645927429
56,120,ILSVRC2012_val_00000226.JPEG,bucket,0.002052755327895284,463,rain barrel,756,0.5130616426467896,0,0.7564900517463684,0,0.7564900517463684
57,126,ILSVRC2012_val_00001035.JPEG,mortarboard,0.0005773158045485616,667,Pomeranian,259,0.8106985092163086,0,0.8385498523712158,0,0.8385498523712158
58,127,ILSVRC2012_val_00000117.JPEG,maillot,0.6432874798774719,638,maillot,638,0.6432874798774719,0,0.8062847256660461,0,0.8062847256660461
59,129,ILSVRC2012_val_00000388.JPEG,banjo,0.8713402748107909,420,banjo,420,0.8713402748107909,0,0.7918976545333862,0,0.7918976545333862
60,130,ILSVRC2012_val_00000582.JPEG,cleaver,0.9061548709869384,499,"cleaver, meat cleaver, chopper",499,0.9061548709869384,0,0.8072130680084229,0,0.8072130680084229
61,131,ILSVRC2012_val_00000869.JPEG,corn,0.0509907491505146,987,burrito,965,0.5578694939613342,0,0.7830936908721924,0,0.7830936908721924
62,132,ILSVRC2012_val_00000751.JPEG,redshank,0.8809407949447632,141,"redshank, Tringa totanus",141,0.8809407949447632,0,0.7926764488220215,0,0.7926764488220215
63,134,ILSVRC2012_val_00001166.JPEG,swimming trunks,0.8126651644706726,842,"swimming trunks, bathing trunks",842,0.8126651644706726,0,0.8877564072608948,0,0.8877564072608948
64,137,ILSVRC2012_val_00000867.JPEG,miniature poodle,0.8292571902275085,266,miniature poodle,266,0.8292571902275085,0,0.7256699800491333,0,0.7256699800491333
65,138,ILSVRC2012_val_00000105.JPEG,silky terrier,0.8232128620147705,201,"silky terrier, Sydney silky",201,0.8232128620147705,0,0.8411781787872314,0,0.8411781787872314
66,140,ILSVRC2012_val_00000064.JPEG,green lizard,0.4493300318717957,46,"green lizard, Lacerta viridis",46,0.4493300318717957,0,0.7520927190780641,0,0.7520927190780641
67,141,ILSVRC2012_val_00000243.JPEG,neck brace,0.8688158392906189,678,neck brace,678,0.8688158392906189,0,0.8473908305168152,0,0.8473908305168152
68,143,ILSVRC2012_val_00000202.JPEG,bow tie,0.8980804681777954,457,"bow tie, bow-tie, bowtie",457,0.8980804681777954,0,0.7810401916503906,0,0.7810401916503906
69,145,ILSVRC2012_val_00000363.JPEG,bittern,0.954869508743286,133,bittern,133,0.954869508743286,0,0.8139652609825134,0,0.8139652609825134
70,147,ILSVRC2012_val_00000759.JPEG,barber chair,0.7114636898040771,423,barber chair,423,0.7114636898040771,0,0.8989511132240295,0,0.8989511132240295
71,148,ILSVRC2012_val_00000783.JPEG,loudspeaker,0.8162446022033691,632,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",632,0.8162446022033691,0,0.8102248311042786,0,0.8102248311042786
72,150,ILSVRC2012_val_00000904.JPEG,computer keyboard,0.7221333980560303,508,"computer keyboard, keypad",508,0.7221333980560303,0,0.7759554982185364,0,0.7759554982185364
73,151,ILSVRC2012_val_00000589.JPEG,power drill,0.8738200068473816,740,power drill,740,0.8738200068473816,0,0.8732571601867676,0,0.8732571601867676
74,154,ILSVRC2012_val_00000208.JPEG,iron,0.9076997637748718,606,"iron, smoothing iron",606,0.9076997637748718,0,0.8482259511947632,0,0.8482259511947632
75,158,ILSVRC2012_val_00000458.JPEG,potter's wheel,0.9830707907676696,739,potter's wheel,739,0.9830707907676696,0,0.9261948466300964,0,0.9261948466300964
76,159,ILSVRC2012_val_00000207.JPEG,albatross,0.8815383911132812,146,"albatross, mollymawk",146,0.8815383911132812,0,0.8626580834388733,0,0.8626580834388733
77,163,ILSVRC2012_val_00001010.JPEG,eft,0.7757359147071838,27,eft,27,0.7757359147071838,0,0.7448794841766357,0,0.7448794841766357
78,166,ILSVRC2012_val_00000336.JPEG,bucket,0.7227401137351991,463,"bucket, pail",463,0.7227401137351991,0,0.7210185527801514,0,0.7210185527801514
79,169,ILSVRC2012_val_00000984.JPEG,lipstick,0.8710396289825441,629,"lipstick, lip rouge",629,0.8710396289825441,0,0.7082185149192809,0,0.7082185149192809
80,176,ILSVRC2012_val_00000184.JPEG,maillot,0.07429789006710052,638,"bikini, two-piece",445,0.6327579617500305,0,0.8020635843276978,0,0.8020635843276978
81,177,ILSVRC2012_val_00000709.JPEG,Egyptian cat,0.8977633118629456,285,Egyptian cat,285,0.8977633118629456,0,0.8048417568206787,0,0.8048417568206787
82,178,ILSVRC2012_val_00000722.JPEG,plastic bag,0.754266619682312,728,plastic bag,728,0.754266619682312,0,0.7941904664039612,0,0.7941904664039612
83,181,ILSVRC2012_val_00000466.JPEG,black swan,0.9339986443519592,100,"black swan, Cygnus atratus",100,0.9339986443519592,0,0.7852672338485718,0,0.7852672338485718
84,182,ILSVRC2012_val_00000899.JPEG,tray,0.004080158192664385,868,purse,748,0.14782989025115967,0,0.9138693809509276,0,0.9138693809509276
85,186,ILSVRC2012_val_00000488.JPEG,modem,0.2207634299993515,662,"radio, wireless",754,0.4619681537151337,0,0.8122115731239319,0,0.8122115731239319
86,187,ILSVRC2012_val_00001390.JPEG,airliner,0.8528317213058472,404,airliner,404,0.8528317213058472,0,0.8163343667984009,0,0.8163343667984009
87,188,ILSVRC2012_val_00001370.JPEG,black and gold garden spider,0.6892938613891602,72,"black and gold garden spider, Argiope aurantia",72,0.6892938613891602,0,0.7265841364860535,0,0.7265841364860535
88,192,ILSVRC2012_val_00000334.JPEG,pole,0.040938060730695724,733,knot,616,0.8603635430335999,0,0.8070705533027649,0,0.8070705533027649
89,193,ILSVRC2012_val_00001046.JPEG,bittern,0.9004665613174438,133,bittern,133,0.9004665613174438,0,0.7880091667175293,0,0.7880091667175293
90,197,ILSVRC2012_val_00001160.JPEG,throne,0.001028477679938078,857,palace,698,0.7171333432197571,0,0.8113209009170532,0,0.8113209009170532
91,200,ILSVRC2012_val_00000632.JPEG,corn,0.15735796093940735,987,"ear, spike, capitulum",998,0.7175624966621399,0,0.761378824710846,0,0.761378824710846
92,202,ILSVRC2012_val_00000900.JPEG,kimono,0.9714258313179016,614,kimono,614,0.9714258313179016,0,0.7904587984085083,0,0.7904587984085083
93,204,ILSVRC2012_val_00001429.JPEG,projector,0.035302676260471344,745,"home theater, home theatre",598,0.35592505335807795,0,0.8410509824752808,0,0.8410509824752808
94,205,ILSVRC2012_val_00001361.JPEG,soup bowl,0.8928064703941345,809,soup bowl,809,0.8928064703941345,0,0.7541530728340149,0,0.7541530728340149
95,206,ILSVRC2012_val_00000946.JPEG,German shepherd,0.6040281653404236,235,"German shepherd, German shepherd dog, German police dog, alsatian",235,0.6040281653404236,0,0.7560241222381592,0,0.7560241222381592
96,207,ILSVRC2012_val_00000172.JPEG,English setter,0.877191424369812,212,English setter,212,0.877191424369812,0,0.7874202728271484,0,0.7874202728271484
97,210,ILSVRC2012_val_00000327.JPEG,black-and-tan coonhound,0.02887553535401821,165,Rottweiler,234,0.6382223963737488,0,0.8379166126251221,0,0.8379166126251221
98,211,ILSVRC2012_val_00000190.JPEG,hair slide,0.9728571772575378,584,hair slide,584,0.9728571772575378,0,0.8371692895889282,0,0.8371692895889282
99,212,ILSVRC2012_val_00000335.JPEG,pay-phone,0.704904317855835,707,"pay-phone, pay-station",707,0.704904317855835,0,0.7814643383026123,0,0.7814643383026123
100,213,ILSVRC2012_val_00001145.JPEG,brass,0.8214264512062073,458,"brass, memorial tablet, plaque",458,0.8214264512062073,0,0.8316808342933655,0,0.8316808342933655
101,214,ILSVRC2012_val_00000527.JPEG,shower curtain,0.7830315828323364,794,shower curtain,794,0.7830315828323364,0,0.7904375791549683,0,0.7904375791549683
102,215,ILSVRC2012_val_00000797.JPEG,waffle iron,0.8951420783996582,891,waffle iron,891,0.8951420783996582,0,0.85167396068573,0,0.85167396068573
103,218,ILSVRC2012_val_00000136.JPEG,warthog,0.01665184088051319,343,"wild boar, boar, Sus scrofa",342,0.6938654780387878,0,0.8133059144020081,0,0.8133059144020081
104,220,ILSVRC2012_val_00000494.JPEG,balance beam,0.8185961842536926,416,"balance beam, beam",416,0.8185961842536926,0,0.7327229976654053,0,0.7327229976654053
105,221,ILSVRC2012_val_00001018.JPEG,fountain,0.8792911171913147,562,fountain,562,0.8792911171913147,0,0.8318662047386169,0,0.8318662047386169
106,222,ILSVRC2012_val_00001009.JPEG,pug,0.7632437944412231,254,"pug, pug-dog",254,0.7632437944412231,0,0.805888295173645,0,0.805888295173645
107,224,ILSVRC2012_val_00001249.JPEG,tape player,0.3744581639766693,848,cassette player,482,0.5104568004608154,0,0.8951916098594666,0,0.8951916098594666
108,226,ILSVRC2012_val_00000036.JPEG,vestment,0.904259979724884,887,vestment,887,0.904259979724884,0,0.7851334214210509,0,0.7851334214210509
109,229,ILSVRC2012_val_00000558.JPEG,buckle,0.9252933859825134,464,buckle,464,0.9252933859825134,0,0.8575169444084167,0,0.8575169444084167
110,230,ILSVRC2012_val_00000044.JPEG,standard schnauzer,0.9150785207748412,198,standard schnauzer,198,0.9150785207748412,0,0.7905808687210083,0,0.7905808687210083
111,233,ILSVRC2012_val_00000660.JPEG,laptop,0.14369045197963715,620,"laptop, laptop computer",620,0.14369045197963715,0,0.8436814546585083,0,0.8436814546585083
112,236,ILSVRC2012_val_00000471.JPEG,common iguana,0.9018878936767578,39,"common iguana, iguana, Iguana iguana",39,0.9018878936767578,0,0.9215154647827148,0,0.9215154647827148
113,238,ILSVRC2012_val_00000920.JPEG,radiator,0.9044541716575624,753,radiator,753,0.9044541716575624,0,0.8669485449790955,0,0.8669485449790955
114,240,ILSVRC2012_val_00001114.JPEG,hen,0.8287038207054138,8,hen,8,0.8287038207054138,0,0.767742395401001,0,0.767742395401001
115,241,ILSVRC2012_val_00000834.JPEG,pickelhaube,0.9950988888740541,715,pickelhaube,715,0.9950988888740541,0,0.8848164677619934,0,0.8848164677619934
116,242,ILSVRC2012_val_00000686.JPEG,knee pad,0.8515399098396301,615,knee pad,615,0.8515399098396301,0,0.7369598150253296,0,0.7369598150253296
117,244,ILSVRC2012_val_00001377.JPEG,barrel,0.8388853669166565,427,"barrel, cask",427,0.8388853669166565,0,0.7249971032142639,0,0.7249971032142639
118,245,ILSVRC2012_val_00000379.JPEG,cairn,0.8047521114349365,192,"cairn, cairn terrier",192,0.8047521114349365,0,0.767661452293396,0,0.767661452293396
119,246,ILSVRC2012_val_00001043.JPEG,bulletproof vest,0.29167887568473816,465,knee pad,615,0.2987023591995239,0,0.837617039680481,0,0.837617039680481
120,247,ILSVRC2012_val_00000969.JPEG,joystick,0.7954280376434326,613,joystick,613,0.7954280376434326,0,0.794005811214447,0,0.794005811214447
121,249,ILSVRC2012_val_00001474.JPEG,tile roof,0.8740320205688477,858,tile roof,858,0.8740320205688477,0,0.8087639212608337,0,0.8087639212608337
122,251,ILSVRC2012_val_00000875.JPEG,Norwich terrier,0.27442023158073425,186,"cairn, cairn terrier",192,0.5001685619354248,0,0.7994427680969238,0,0.7994427680969238
123,254,ILSVRC2012_val_00000583.JPEG,suit,0.7682831883430481,834,"suit, suit of clothes",834,0.7682831883430481,0,0.7604376077651978,0,0.7604376077651978
124,255,ILSVRC2012_val_00000140.JPEG,flute,0.019712675362825397,558,"dalmatian, coach dog, carriage dog",251,0.7456583380699158,0,0.8378621339797974,0,0.8378621339797974
125,262,ILSVRC2012_val_00001400.JPEG,gong,0.57109135389328,577,"gong, tam-tam",577,0.57109135389328,0,0.8589367866516113,0,0.8589367866516113
126,263,ILSVRC2012_val_00000194.JPEG,safe,0.8940891623497009,771,safe,771,0.8940891623497009,0,0.8468979597091675,0,0.8468979597091675
127,264,ILSVRC2012_val_00000976.JPEG,limousine,0.7715168595314026,627,"limousine, limo",627,0.7715168595314026,0,0.8605965375900269,0,0.8605965375900269
128,266,ILSVRC2012_val_00000533.JPEG,schipperke,0.7900113463401794,223,schipperke,223,0.7900113463401794,0,0.8118953108787537,0,0.8118953108787537
129,267,ILSVRC2012_val_00000537.JPEG,chain saw,0.9765400290489196,491,"chain saw, chainsaw",491,0.9765400290489196,0,0.8513992428779602,0,0.8513992428779602
130,269,ILSVRC2012_val_00000308.JPEG,jack-o'-lantern,0.8682138323783875,607,jack-o'-lantern,607,0.8682138323783875,0,0.8078805804252625,0,0.8078805804252625
131,271,ILSVRC2012_val_00000090.JPEG,American alligator,0.8838304281234741,50,"American alligator, Alligator mississipiensis",50,0.8838304281234741,0,0.8460343480110168,0,0.8460343480110168
132,273,ILSVRC2012_val_00000584.JPEG,bannister,0.006151387467980385,421,"coil, spiral, volute, whorl, helix",506,0.829054594039917,0,0.7570900917053223,0,0.7570900917053223
133,274,ILSVRC2012_val_00001175.JPEG,matchstick,0.8943514823913574,644,matchstick,644,0.8943514823913574,0,0.7865689396858215,0,0.7865689396858215
134,278,ILSVRC2012_val_00000873.JPEG,house finch,0.908366858959198,12,"house finch, linnet, Carpodacus mexicanus",12,0.908366858959198,0,0.8732582926750183,0,0.8732582926750183
135,279,ILSVRC2012_val_00000958.JPEG,loggerhead,0.8407048583030701,33,"loggerhead, loggerhead turtle, Caretta caretta",33,0.8407048583030701,0,0.8234830498695374,0,0.8234830498695374
136,283,ILSVRC2012_val_00000267.JPEG,consomme,0.03211478143930435,925,carbonara,959,0.5773200988769531,0,0.7677655816078186,0,0.7677655816078186
137,284,ILSVRC2012_val_00000989.JPEG,ear,0.910800576210022,998,"ear, spike, capitulum",998,0.910800576210022,0,0.6892713904380798,0,0.6892713904380798
138,286,ILSVRC2012_val_00000831.JPEG,carton,0.7513163089752197,478,carton,478,0.7513163089752197,0,0.7785288691520691,0,0.7785288691520691
139,288,ILSVRC2012_val_00001119.JPEG,face powder,0.8740761876106262,551,face powder,551,0.8740761876106262,0,0.8698339462280273,0,0.8698339462280273
140,289,ILSVRC2012_val_00000807.JPEG,eft,0.7927840352058411,27,eft,27,0.7927840352058411,0,0.7543212771415709,0,0.7543212771415709
141,291,ILSVRC2012_val_00000406.JPEG,mashed potato,0.7998255491256714,935,mashed potato,935,0.7998255491256714,0,0.7504700422286987,0,0.7504700422286987
142,294,ILSVRC2012_val_00000197.JPEG,hotdog,0.8660710453987122,934,"hotdog, hot dog, red hot",934,0.8660710453987122,0,0.7912930846214294,0,0.7912930846214294
143,296,ILSVRC2012_val_00000384.JPEG,lawn mower,0.8493928313255309,621,"lawn mower, mower",621,0.8493928313255309,0,0.8801746368408203,0,0.8801746368408203
144,297,ILSVRC2012_val_00000399.JPEG,standard poodle,0.8692836165428162,267,standard poodle,267,0.8692836165428162,0,0.7559174299240112,0,0.7559174299240112
145,300,ILSVRC2012_val_00000837.JPEG,chickadee,0.9274100065231324,19,chickadee,19,0.9274100065231324,0,0.8601646423339844,0,0.8601646423339844
146,301,ILSVRC2012_val_00001491.JPEG,fire engine,0.006740432698279618,555,"stupa, tope",832,0.30630239844322205,0,0.8951276540756226,0,0.8951276540756226
147,306,ILSVRC2012_val_00001362.JPEG,bolete,0.7179543972015381,997,bolete,997,0.7179543972015381,0,0.8379403948783875,0,0.8379403948783875
148,308,ILSVRC2012_val_00001103.JPEG,bell cote,0.8732798099517822,442,"bell cote, bell cot",442,0.8732798099517822,0,0.7347665429115295,0,0.7347665429115295
149,309,ILSVRC2012_val_00001118.JPEG,violin,0.07999540865421295,889,banjo,420,0.4417087733745575,0,0.9254249334335328,0,0.9254249334335328
150,310,ILSVRC2012_val_00000277.JPEG,muzzle,0.0037353194784373045,676,"candle, taper, wax light",470,0.12169557064771652,0,0.9400401115417479,0,0.9400401115417479
151,312,ILSVRC2012_val_00000448.JPEG,harp,0.8679105639457703,594,harp,594,0.8679105639457703,0,0.7997735738754272,0,0.7997735738754272
152,314,ILSVRC2012_val_00000827.JPEG,notebook,0.04831958934664726,681,"laptop, laptop computer",620,0.8329769968986511,0,0.7909760475158691,0,0.7909760475158691
153,316,ILSVRC2012_val_00001420.JPEG,maillot,0.07089632004499435,638,"maillot, tank suit",639,0.3594813048839569,0,0.8269079327583313,0,0.8269079327583313
154,317,ILSVRC2012_val_00000497.JPEG,whistle,0.8233444094657898,902,whistle,902,0.8233444094657898,0,0.892949640750885,0,0.892949640750885
155,322,ILSVRC2012_val_00000369.JPEG,warplane,0.39588725566864014,895,"warplane, military plane",895,0.39588725566864014,0,0.7523172497749329,0,0.7523172497749329
156,323,ILSVRC2012_val_00000259.JPEG,matchstick,0.871566891670227,644,matchstick,644,0.871566891670227,0,0.7861548662185669,0,0.7861548662185669
157,324,ILSVRC2012_val_00000324.JPEG,sea snake,0.9122472405433656,65,sea snake,65,0.9122472405433656,0,0.8228759169578552,0,0.8228759169578552
158,325,ILSVRC2012_val_00001279.JPEG,bighorn,0.4583065211772919,349,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",349,0.4583065211772919,0,0.7701184153556824,0,0.7701184153556824
159,326,ILSVRC2012_val_00000908.JPEG,whiptail,0.8439473509788513,41,"whiptail, whiptail lizard",41,0.8439473509788513,0,0.8635886907577515,0,0.8635886907577515
160,331,ILSVRC2012_val_00000755.JPEG,earthstar,0.9820376634597778,995,earthstar,995,0.9820376634597778,0,0.8949192762374878,0,0.8949192762374878
161,334,ILSVRC2012_val_00000952.JPEG,toucan,0.9204635024070741,96,toucan,96,0.9204635024070741,0,0.8545235991477966,0,0.8545235991477966
162,335,ILSVRC2012_val_00000154.JPEG,sea slug,0.8554434180259705,115,"sea slug, nudibranch",115,0.8554434180259705,0,0.8242160677909851,0,0.8242160677909851
163,336,ILSVRC2012_val_00000786.JPEG,boa constrictor,0.862252950668335,61,"boa constrictor, Constrictor constrictor",61,0.862252950668335,0,0.8179466128349304,0,0.8179466128349304
164,338,ILSVRC2012_val_00000474.JPEG,Sealyham terrier,0.8231503963470459,190,"Sealyham terrier, Sealyham",190,0.8231503963470459,0,0.8210213184356691,0,0.8210213184356691
165,339,ILSVRC2012_val_00001486.JPEG,Weimaraner,0.843973696231842,178,Weimaraner,178,0.843973696231842,0,0.8655725121498108,0,0.8655725121498108
