,Item_Number,file,Correct_Category,Estimated_Category,Max_Softmax_Value,Likelihood,In-vs-Out,In-Like,Out-Like,
0,53,000000227012.jpg,car,horse,0.765607893,-84.55870056,Out,NA,-84.55870056,
0,54,000000137661.jpg,zebra,horse,0.999970198,-12.41201782,Out,NA,-12.41201782,
0,55,000000113579.jpg,horse,horse,0.999975801,74.03421021,In,74.03421021,NA,
0,56,000000293591.jpg,zebra,horse,0.982972622,-6.774627686,Out,NA,-6.774627686,
0,57,000000389258.jpg,car,airplane,0.732892513,-22.79656982,Out,NA,-22.79656982,
0,58,000000268643.jpg,airplane,airplane,0.999998808,-1.823684692,In,-1.823684692,NA,
0,59,000000025853.jpg,car,airplane,0.96593827,-61.00209045,Out,NA,-61.00209045,
0,60,000000211852.jpg,dog,horse,0.684013426,-40.48345947,Out,NA,-40.48345947,
0,61,000000193293.jpg,car,airplane,1,36.91325378,Out,NA,36.91325378,
0,62,000000137507.jpg,cat,horse,0.662259161,-60.46807861,Out,NA,-60.46807861,
0,63,000000096615.jpg,pizza,horse,0.781433403,-94.63757324,Out,NA,-94.63757324,
0,64,000000062204.jpg,car,airplane,0.999374688,-34.05905151,Out,NA,-34.05905151,
0,65,000000522191.jpg,car,airplane,0.984496593,30.0783844,Out,NA,30.0783844,
0,66,000000310672.jpg,dog,horse,0.99104017,-53.0630188,Out,NA,-53.0630188,
0,67,000000466818.jpg,laptop,airplane,0.999982119,-79.4540863,Out,NA,-79.4540863,
0,68,000000421915.jpg,car,airplane,0.999996424,-48.12481689,Out,NA,-48.12481689,
0,69,000000458175.jpg,horse,horse,0.999999404,-1.505157471,In,-1.505157471,NA,
0,70,000000343455.jpg,pizza,airplane,0.999999523,-84.44487,Out,NA,-84.44487,
0,71,000000449485.jpg,book,airplane,0.993602335,-67.17614746,Out,NA,-67.17614746,
0,72,000000091917.jpg,car,horse,0.999937415,-38.93505859,Out,NA,-38.93505859,
0,73,000000391966.jpg,car,airplane,0.999977231,-75.13340759,Out,NA,-75.13340759,
0,74,000000499168.jpg,horse,horse,0.99998045,-57.83932495,In,-57.83932495,NA,
0,75,000000047882.jpg,book,horse,0.849552274,-39.94662476,Out,NA,-39.94662476,
0,76,000000163002.jpg,airplane,airplane,1,62.47679138,In,62.47679138,NA,
0,77,000000399465.jpg,book,airplane,1,-33.95140076,Out,NA,-33.95140076,
0,78,000000548772.jpg,cake,horse,0.967738867,-106.1973572,Out,NA,-106.1973572,
0,79,000000449599.jpg,cat,airplane,0.99992609,-74.58903503,Out,NA,-74.58903503,
0,80,000000105611.jpg,dog,horse,0.766606867,-69.42355347,Out,NA,-69.42355347,
0,81,000000487036.jpg,car,horse,0.999978781,-45.21720886,Out,NA,-45.21720886,
0,82,000000515803.jpg,laptop,airplane,0.999716461,-44.19041443,Out,NA,-44.19041443,
0,83,000000491250.jpg,laptop,airplane,1,-47.6552887,Out,NA,-47.6552887,
0,84,000000106023.jpg,zebra,horse,0.999737203,-5.281433105,Out,NA,-5.281433105,
0,85,000000400139.jpg,cake,airplane,0.999949574,-82.48573303,Out,NA,-82.48573303,
0,86,000000047405.jpg,airplane,airplane,0.999996662,46.11604309,In,46.11604309,NA,
0,87,000000400216.jpg,dog,horse,0.999999881,-94.97631836,Out,NA,-94.97631836,
0,88,000000040842.jpg,cat,airplane,0.862309039,-54.74241638,Out,NA,-54.74241638,
0,89,000000277916.jpg,cake,horse,0.999708235,-136.6382751,Out,NA,-136.6382751,
0,90,000000457033.jpg,horse,horse,0.999023199,-42.15054321,In,-42.15054321,NA,
0,91,000000256431.jpg,car,airplane,0.95515871,-86.4801178,Out,NA,-86.4801178,
0,92,000000383934.jpg,pizza,horse,0.653404057,-80.03540039,Out,NA,-80.03540039,
0,93,000000059641.jpg,car,airplane,1,-17.16377258,Out,NA,-17.16377258,
0,94,000000392725.jpg,cake,airplane,0.999997377,-100.6489105,Out,NA,-100.6489105,
0,95,000000425609.jpg,cake,airplane,0.962764978,-104.7141571,Out,NA,-104.7141571,
0,96,000000064141.jpg,pizza,airplane,0.979650378,-65.98587036,Out,NA,-65.98587036,
0,97,000000203206.jpg,laptop,airplane,0.999999404,-37.69110107,Out,NA,-37.69110107,
0,98,000000261485.jpg,car,airplane,0.999984264,-79.70466614,Out,NA,-79.70466614,
0,99,000000564061.jpg,airplane,airplane,0.999804676,-80.06166077,In,-80.06166077,NA,
0,100,000000483288.jpg,airplane,airplane,1,3.033950806,In,3.033950806,NA,
0,101,000000310606.jpg,laptop,airplane,1,-19.85005188,Out,NA,-19.85005188,
0,102,000000386514.jpg,car,airplane,0.98331809,-35.32740784,Out,NA,-35.32740784,
0,103,000000580408.jpg,book,horse,0.998473704,-81.62792969,Out,NA,-81.62792969,
0,104,000000245503.jpg,airplane,airplane,1,61.33770752,In,61.33770752,NA,
0,105,000000343153.jpg,dog,horse,0.999999285,-81.47790527,Out,NA,-81.47790527,
0,106,000000269511.jpg,cat,airplane,0.99723947,-131.3988495,Out,NA,-131.3988495,
0,107,000000189017.jpg,car,airplane,0.999998093,-79.11384583,Out,NA,-79.11384583,
0,108,000000228450.jpg,book,airplane,0.999997616,-24.7093811,Out,NA,-24.7093811,
0,109,000000088556.jpg,airplane,airplane,0.999997139,77.10667419,In,77.10667419,NA,
0,110,000000473634.jpg,cat,airplane,0.998682916,-45.76344299,Out,NA,-45.76344299,
0,111,000000486388.jpg,car,airplane,0.999999285,-57.48275757,Out,NA,-57.48275757,
0,112,000000564330.jpg,cat,horse,0.999999523,-114.8043518,Out,NA,-114.8043518,
0,113,000000556739.jpg,car,airplane,0.903821528,-6.050643921,Out,NA,-6.050643921,
0,114,000000320333.jpg,car,airplane,0.999999881,35.75697327,Out,NA,35.75697327,
0,115,000000291048.jpg,car,airplane,0.998501062,-68.24505615,Out,NA,-68.24505615,
0,116,000000564611.jpg,cat,horse,0.99999404,-68.92810059,Out,NA,-68.92810059,
0,117,000000457384.jpg,cat,horse,0.964411914,-64.98748779,Out,NA,-64.98748779,
0,118,000000522708.jpg,car,horse,0.946130097,-41.55949402,Out,NA,-41.55949402,
0,119,000000040842.jpg,laptop,airplane,0.862309039,-55.94549561,Out,NA,-55.94549561,
0,120,000000355657.jpg,car,airplane,1,-22.56404114,Out,NA,-22.56404114,
0,121,000000360346.jpg,airplane,airplane,1,83.4116745,In,83.4116745,NA,
0,122,000000191042.jpg,car,airplane,0.992903173,-35.86833191,Out,NA,-35.86833191,
0,123,000000027104.jpg,car,airplane,0.996447146,-61.12957764,Out,NA,-61.12957764,
0,124,000000032677.jpg,cat,horse,0.797704279,-74.01327515,Out,NA,-74.01327515,
0,125,000000419056.jpg,car,airplane,0.773829341,-44.07597351,Out,NA,-44.07597351,
0,126,000000245345.jpg,cake,horse,0.999993682,-102.5884094,Out,NA,-102.5884094,
0,127,000000523278.jpg,pizza,airplane,0.895871758,-68.66897583,Out,NA,-68.66897583,
0,128,000000225848.jpg,car,horse,0.987734377,-54.69470215,Out,NA,-54.69470215,
0,129,000000121229.jpg,cat,airplane,0.999539018,-81.87153625,Out,NA,-81.87153625,
0,130,000000055809.jpg,dog,horse,1,-92.46456909,Out,NA,-92.46456909,
0,131,000000481974.jpg,horse,horse,0.999096394,-35.9841156,In,-35.9841156,NA,
0,132,000000507224.jpg,laptop,horse,0.999999881,-86.02272034,Out,NA,-86.02272034,
0,133,000000555574.jpg,cat,airplane,0.999963403,-90.1547699,Out,NA,-90.1547699,
0,134,000000522405.jpg,cat,airplane,0.990617573,-62.30769348,Out,NA,-62.30769348,
0,135,000000073567.jpg,dog,horse,0.999965191,-105.6593628,Out,NA,-105.6593628,
0,136,000000571773.jpg,cat,airplane,0.791300774,-35.13256836,Out,NA,-35.13256836,
0,137,000000473720.jpg,pizza,horse,0.983890474,-60.86181641,Out,NA,-60.86181641,
0,138,000000556694.jpg,horse,horse,0.999313116,13.38964844,In,13.38964844,NA,
0,139,000000032284.jpg,car,airplane,0.995200634,-46.31916809,Out,NA,-46.31916809,
0,140,000000384986.jpg,zebra,horse,0.999902725,69.25592041,Out,NA,69.25592041,
0,141,000000106326.jpg,zebra,horse,0.998390675,58.64846802,Out,NA,58.64846802,
0,142,000000235945.jpg,book,horse,0.9999547,-70.12858582,Out,NA,-70.12858582,
0,143,000000563763.jpg,cake,horse,0.823328376,-82.5479126,Out,NA,-82.5479126,
0,144,000000178431.jpg,dog,horse,0.999827087,-65.3540802,Out,NA,-65.3540802,
0,145,000000384935.jpg,dog,airplane,0.996343672,-11.29893494,Out,NA,-11.29893494,
0,146,000000064629.jpg,airplane,airplane,0.999997854,90.72120667,In,90.72120667,NA,
0,147,000000253335.jpg,horse,horse,1,1.246612549,In,1.246612549,NA,
0,148,000000292146.jpg,car,airplane,0.849984825,-34.22702026,Out,NA,-34.22702026,
0,149,000000285499.jpg,airplane,airplane,0.999999404,30.49290466,In,30.49290466,NA,
0,150,000000400642.jpg,dog,horse,0.649319172,-67.40545654,Out,NA,-67.40545654,
0,151,000000062276.jpg,car,airplane,0.999628901,21.2061615,Out,NA,21.2061615,
0,152,000000326517.jpg,airplane,airplane,0.999999642,77.87390137,In,77.87390137,NA,
0,153,000000058651.jpg,car,horse,0.963928163,0.321670532,Out,NA,0.321670532,
0,154,000000523594.jpg,dog,airplane,0.999985814,-59.17553711,Out,NA,-59.17553711,
0,155,000000392717.jpg,car,horse,0.999978185,-69.17884827,Out,NA,-69.17884827,
0,156,000000072715.jpg,book,horse,0.610375404,-32.8502655,Out,NA,-32.8502655,
0,157,000000203778.jpg,cat,airplane,0.999979138,-44.01426697,Out,NA,-44.01426697,
0,158,000000155549.jpg,dog,horse,1,-78.56204224,Out,NA,-78.56204224,
0,159,000000498856.jpg,book,horse,0.980337977,-84.08938599,Out,NA,-84.08938599,
0,160,000000032597.jpg,cat,airplane,0.548926413,-45.43818665,Out,NA,-45.43818665,
0,161,000000121902.jpg,cake,airplane,0.99993813,-83.40040588,Out,NA,-83.40040588,
0,162,000000113293.jpg,laptop,horse,0.937580526,-1.820831299,Out,NA,-1.820831299,
0,163,000000155448.jpg,book,airplane,0.904879272,-63.37513733,Out,NA,-63.37513733,
0,164,000000491440.jpg,car,airplane,0.999903202,-74.52622986,Out,NA,-74.52622986,
0,165,000000522704.jpg,laptop,airplane,0.998550713,-74.18159485,Out,NA,-74.18159485,
0,166,000000400525.jpg,laptop,airplane,0.999917507,-22.02061462,Out,NA,-22.02061462,
0,167,000000458027.jpg,car,horse,1,-87.98565674,Out,NA,-87.98565674,
0,168,000000581499.jpg,airplane,airplane,1,85.26925659,In,85.26925659,NA,
0,169,000000515895.jpg,horse,horse,0.999951482,-49.31277466,In,-49.31277466,NA,
0,170,000000064710.jpg,dog,horse,1,-12.93469238,Out,NA,-12.93469238,
0,171,000000556492.jpg,car,horse,0.999998808,-36.97366333,Out,NA,-36.97366333,
0,172,000000170706.jpg,airplane,airplane,0.999981046,112.8443909,In,112.8443909,NA,
0,173,000000253773.jpg,cat,horse,0.995094419,-119.9169922,Out,NA,-119.9169922,
0,174,000000138189.jpg,book,airplane,0.999984026,-42.42756653,Out,NA,-42.42756653,
0,175,000000112887.jpg,cake,airplane,0.755354822,-57.76824951,Out,NA,-57.76824951,
0,176,000000554114.jpg,car,horse,0.994116068,-86.11947632,Out,NA,-86.11947632,
0,177,000000518667.jpg,car,horse,0.999477565,-14.73022461,Out,NA,-14.73022461,
0,178,000000487059.jpg,car,horse,0.947317481,-10.18838501,Out,NA,-10.18838501,
0,179,000000465269.jpg,book,horse,0.999120176,-74.88446045,Out,NA,-74.88446045,
0,180,000000432397.jpg,airplane,airplane,1,34.68917847,In,34.68917847,NA,
0,181,000000093853.jpg,car,airplane,0.974474072,-112.3892365,Out,NA,-112.3892365,
0,182,000000352194.jpg,car,horse,0.999993324,-62.48791504,Out,NA,-62.48791504,
0,183,000000319346.jpg,horse,horse,0.999999642,32.63487244,In,32.63487244,NA,
0,184,000000564204.jpg,dog,horse,0.999759257,-96.54681396,Out,NA,-96.54681396,
0,185,000000056435.jpg,laptop,airplane,0.999998569,-46.75666809,Out,NA,-46.75666809,
0,186,000000026319.jpg,car,airplane,0.999463141,-28.67030334,Out,NA,-28.67030334,
0,187,000000442287.jpg,cake,horse,0.684506655,-111.2730408,Out,NA,-111.2730408,
0,188,000000114504.jpg,dog,airplane,0.616453409,-61.24031067,Out,NA,-61.24031067,
0,189,000000392887.jpg,car,airplane,1,-70.26597595,Out,NA,-70.26597595,
0,190,000000523154.jpg,airplane,airplane,0.99999547,94.38180542,In,94.38180542,NA,
0,191,000000060671.jpg,car,airplane,0.999872684,-61.49359131,Out,NA,-61.49359131,
0,192,000000555905.jpg,laptop,horse,0.999869585,-20.17584229,Out,NA,-20.17584229,
0,193,000000097801.jpg,cake,airplane,0.980163872,-68.44580078,Out,NA,-68.44580078,
0,194,000000227709.jpg,cat,airplane,0.999951124,-72.24211121,Out,NA,-72.24211121,
0,195,000000253212.jpg,book,horse,0.993903697,-21.92832947,Out,NA,-21.92832947,
0,196,000000260275.jpg,car,airplane,1,16.37236023,Out,NA,16.37236023,
0,197,000000366830.jpg,horse,horse,0.807966411,-28.98080444,In,-28.98080444,NA,
0,198,000000063553.jpg,cat,airplane,0.998565018,-78.11479187,Out,NA,-78.11479187,
0,199,000000113244.jpg,cake,airplane,0.851633608,-94.17018127,Out,NA,-94.17018127,
0,200,000000228185.jpg,cat,airplane,0.99999547,-79.89823914,Out,NA,-79.89823914,
0,201,000000515422.jpg,airplane,airplane,0.894104838,-3.188095093,In,-3.188095093,NA,
0,202,000000071678.jpg,pizza,airplane,0.992625892,-82.16688538,Out,NA,-82.16688538,
0,203,000000188847.jpg,car,airplane,0.902353764,22.96408081,Out,NA,22.96408081,
0,204,000000518627.jpg,car,airplane,0.656735241,-80.7822113,Out,NA,-80.7822113,
0,205,000000581249.jpg,cat,horse,0.999997258,-91.59440613,Out,NA,-91.59440613,
0,206,000000040685.jpg,cat,airplane,0.996213496,-82.98835754,Out,NA,-82.98835754,
0,207,000000357493.jpg,car,horse,0.999833345,-67.57055664,Out,NA,-67.57055664,
0,208,000000227216.jpg,car,airplane,0.907341897,-57.04753113,Out,NA,-57.04753113,
0,209,000000243895.jpg,airplane,airplane,1,-39.52833557,In,-39.52833557,NA,
0,210,000000334463.jpg,book,horse,0.996417046,-25.50720215,Out,NA,-25.50720215,
0,211,000000203707.jpg,cake,airplane,0.884405196,-66.67428589,Out,NA,-66.67428589,
0,212,000000147259.jpg,dog,horse,0.925594032,-60.30879211,Out,NA,-60.30879211,
0,213,000000113326.jpg,cake,airplane,0.996322751,-82.09117126,Out,NA,-82.09117126,
0,214,000000408235.jpg,cat,airplane,0.975117028,-97.79734802,Out,NA,-97.79734802,
0,215,000000032095.jpg,pizza,airplane,0.999983668,-105.7212982,Out,NA,-105.7212982,
0,216,000000065139.jpg,car,airplane,1,-47.46379089,Out,NA,-47.46379089,
0,217,000000580388.jpg,book,airplane,0.999997377,-50.432724,Out,NA,-50.432724,
0,218,000000224869.jpg,car,horse,0.999715269,-46.84111023,Out,NA,-46.84111023,
0,219,000000388820.jpg,car,airplane,0.999999881,4.134246826,Out,NA,4.134246826,
0,220,000000318646.jpg,book,horse,0.97603339,-86.49308777,Out,NA,-86.49308777,
0,221,000000359908.jpg,cat,airplane,0.993335009,-87.13139343,Out,NA,-87.13139343,
0,222,000000457168.jpg,pizza,airplane,0.999490857,-103.1611176,Out,NA,-103.1611176,
0,223,000000120860.jpg,dog,horse,0.995792508,-104.9415588,Out,NA,-104.9415588,
0,224,000000029155.jpg,car,airplane,0.999985576,-46.40782166,Out,NA,-46.40782166,
0,225,000000194034.jpg,car,airplane,0.999999404,-26.2026062,Out,NA,-26.2026062,
0,226,000000549773.jpg,car,airplane,0.998948395,-41.07020569,Out,NA,-41.07020569,
0,227,000000080213.jpg,cat,horse,0.961494863,-59.61766052,Out,NA,-59.61766052,
0,228,000000507494.jpg,airplane,airplane,0.999999166,71.85404968,In,71.85404968,NA,
0,229,000000114515.jpg,laptop,horse,0.950205266,-65.82821655,Out,NA,-65.82821655,
0,230,000000352938.jpg,car,airplane,0.993974388,-34.41136169,Out,NA,-34.41136169,
0,231,000000385378.jpg,car,airplane,0.706697822,-42.6151886,Out,NA,-42.6151886,
0,232,000000225558.jpg,car,airplane,1,72.59979248,Out,NA,72.59979248,
0,233,000000416078.jpg,laptop,horse,0.549429059,-90.64047241,Out,NA,-90.64047241,
0,234,000000072657.jpg,dog,horse,0.999250948,-99.73492432,Out,NA,-99.73492432,
0,235,000000420963.jpg,car,airplane,0.887714505,-50.23721313,Out,NA,-50.23721313,
0,236,000000343404.jpg,cat,horse,1,-99.45419312,Out,NA,-99.45419312,
0,237,000000309568.jpg,cat,airplane,0.996874332,-87.84217834,Out,NA,-87.84217834,
0,238,000000040414.jpg,cat,horse,0.989851832,-69.48327637,Out,NA,-69.48327637,
0,239,000000441462.jpg,pizza,airplane,0.998900294,-93.78404236,Out,NA,-93.78404236,
0,240,000000458401.jpg,dog,horse,1,-73.57893372,Out,NA,-73.57893372,
0,241,000000285883.jpg,book,horse,0.987278342,-73.58821106,Out,NA,-73.58821106,
0,242,000000171468.jpg,dog,airplane,0.999303102,-92.81645203,Out,NA,-92.81645203,
0,243,000000006562.jpg,airplane,airplane,0.996225595,-69.9092865,In,-69.9092865,NA,
0,244,000000137918.jpg,laptop,airplane,0.999998331,-35.44361877,Out,NA,-35.44361877,
0,245,000000440663.jpg,cat,horse,0.548190534,-107.5633545,Out,NA,-107.5633545,
0,246,000000351210.jpg,book,horse,1,-92.91906738,Out,NA,-92.91906738,
0,247,000000518083.jpg,car,airplane,0.999996901,-40.59660339,Out,NA,-40.59660339,
0,248,000000420398.jpg,car,airplane,0.981066227,-126.942215,Out,NA,-126.942215,
0,249,000000418229.jpg,car,airplane,1,-22.23176575,Out,NA,-22.23176575,
0,250,000000374860.jpg,laptop,horse,0.972903669,-113.4636536,Out,NA,-113.4636536,
0,251,000000551100.jpg,car,horse,0.768620253,-25.60542297,Out,NA,-25.60542297,
0,252,000000029254.jpg,car,airplane,0.933129668,-29.83752441,Out,NA,-29.83752441,
0,253,000000290600.jpg,car,horse,0.98153162,-74.14682007,Out,NA,-74.14682007,
0,254,000000457342.jpg,book,horse,0.998381376,-33.13693237,Out,NA,-33.13693237,
0,255,000000355569.jpg,car,horse,0.841503978,-9.577148438,Out,NA,-9.577148438,
0,256,000000302855.jpg,book,airplane,0.999481738,-87.37736511,Out,NA,-87.37736511,
0,257,000000170780.jpg,book,airplane,0.749685943,-80.68141174,Out,NA,-80.68141174,
0,258,000000277918.jpg,horse,horse,0.999854803,89.81282043,In,89.81282043,NA,
0,259,000000191869.jpg,car,horse,0.755911469,-90.0484314,Out,NA,-90.0484314,
0,260,000000564418.jpg,cake,horse,0.969552279,-78.00418091,Out,NA,-78.00418091,
0,261,000000024132.jpg,laptop,airplane,0.999999762,-31.23753357,Out,NA,-31.23753357,
0,262,000000319649.jpg,car,horse,0.818597496,-2.656433105,Out,NA,-2.656433105,
0,263,000000334772.jpg,zebra,horse,0.999775112,73.09703064,Out,NA,73.09703064,
0,264,000000424470.jpg,laptop,airplane,0.999918342,-94.46708679,Out,NA,-94.46708679,
0,265,000000146826.jpg,dog,airplane,0.99799335,-2.030258179,Out,NA,-2.030258179,
0,266,000000106100.jpg,cake,horse,0.999843359,-101.0666504,Out,NA,-101.0666504,
0,267,000000360178.jpg,cat,horse,0.999647617,-46.4342041,Out,NA,-46.4342041,
0,268,000000360191.jpg,car,airplane,0.584980428,-75.20555115,Out,NA,-75.20555115,
0,269,000000519838.jpg,car,horse,0.999981999,-79.13009644,Out,NA,-79.13009644,
0,270,000000547460.jpg,zebra,horse,0.999845147,62.58721924,Out,NA,62.58721924,
0,271,000000137413.jpg,cat,horse,0.875398338,-86.78831482,Out,NA,-86.78831482,
0,272,000000563261.jpg,cake,horse,0.999995232,-107.8718262,Out,NA,-107.8718262,
0,273,000000007830.jpg,laptop,airplane,1,-88.81864929,Out,NA,-88.81864929,
0,274,000000359133.jpg,car,horse,0.972042024,-68.50843811,Out,NA,-68.50843811,
0,275,000000204683.jpg,cake,airplane,1,-108.1124725,Out,NA,-108.1124725,
0,276,000000105247.jpg,pizza,airplane,0.711848736,-90.53794861,Out,NA,-90.53794861,
0,277,000000286166.jpg,horse,horse,1,24.38375854,In,24.38375854,NA,
0,278,000000423875.jpg,car,airplane,0.999936461,-39.06530762,Out,NA,-39.06530762,
0,279,000000229352.jpg,car,airplane,0.999999881,-108.6367035,Out,NA,-108.6367035,
0,280,000000358462.jpg,car,horse,0.999999166,95.1818924,Out,NA,95.1818924,
0,281,000000548428.jpg,airplane,airplane,0.999999881,55.36489868,In,55.36489868,NA,
0,282,000000387161.jpg,car,airplane,0.999999404,95.26937866,Out,NA,95.26937866,
0,283,000000416325.jpg,book,horse,0.999474823,-95.7855835,Out,NA,-95.7855835,
0,284,000000007522.jpg,zebra,horse,0.999669671,75.15959167,Out,NA,75.15959167,
0,285,000000309872.jpg,dog,horse,0.601412952,-70.24356079,Out,NA,-70.24356079,
0,286,000000326058.jpg,horse,horse,0.998567104,-25.53408813,In,-25.53408813,NA,
0,287,000000097210.jpg,cake,horse,1,-98.28482056,Out,NA,-98.28482056,
0,288,000000376472.jpg,cat,horse,0.566872001,-23.22720337,Out,NA,-23.22720337,
0,289,000000352107.jpg,dog,airplane,0.997521102,-9.300064087,Out,NA,-9.300064087,
0,290,000000171090.jpg,zebra,horse,0.999900699,69.34230042,Out,NA,69.34230042,
0,291,000000220216.jpg,book,airplane,0.990153253,-65.20259094,Out,NA,-65.20259094,
0,292,000000030448.jpg,car,airplane,1,-40.9622345,Out,NA,-40.9622345,
0,293,000000448558.jpg,book,airplane,0.996723354,-97.85136414,Out,NA,-97.85136414,
0,294,000000368219.jpg,cake,airplane,0.899208188,-74.60664368,Out,NA,-74.60664368,
0,295,000000390288.jpg,car,airplane,1,-81.4261322,Out,NA,-81.4261322,
0,296,000000564073.jpg,airplane,airplane,1,88.63038635,In,88.63038635,NA,
0,297,000000432339.jpg,pizza,airplane,0.999991655,-78.16719055,Out,NA,-78.16719055,
0,298,000000276797.jpg,airplane,airplane,1,98.89276886,In,98.89276886,NA,
0,299,000000294892.jpg,car,horse,0.818640411,25.32293701,Out,NA,25.32293701,
0,300,000000196311.jpg,book,airplane,0.857025564,-34.21453857,Out,NA,-34.21453857,
0,301,000000458321.jpg,laptop,airplane,0.977096379,-49.98292542,Out,NA,-49.98292542,
0,302,000000442097.jpg,book,horse,0.997335494,-68.80740356,Out,NA,-68.80740356,
0,303,000000499512.jpg,airplane,airplane,0.999999642,-45.98719788,In,-45.98719788,NA,
0,304,000000129328.jpg,zebra,horse,0.999637365,67.40332031,Out,NA,67.40332031,
