Item_Number,file,Correct_Category,Estimated_Category,Max_Softmax_Value,Likelihood,In-vs-Out,In-Likelihood,Out-Likelihood
179,000000465269.jpg,book,horse,0.997794509,-62.88279724,Out,NA,-62.88279724
180,000000432397.jpg,airplane,airplane,0.999983668,-0.470825195,In,-0.470825195,NA
181,000000093853.jpg,car,horse,0.693747878,-29.02020264,Out,NA,-29.02020264
182,000000352194.jpg,car,horse,0.987307966,-29.10368347,Out,NA,-29.10368347
183,000000319346.jpg,horse,horse,0.999124229,13.36660004,In,13.36660004,NA
184,000000564204.jpg,dog,horse,0.987934828,-11.99267578,Out,NA,-11.99267578
185,000000056435.jpg,laptop,airplane,0.909726679,21.55991364,Out,NA,21.55991364
186,000000026319.jpg,car,airplane,0.714323997,-26.72678375,Out,NA,-26.72678375
187,000000442287.jpg,cake,horse,0.980214477,-38.26907349,Out,NA,-38.26907349
188,000000114504.jpg,dog,horse,0.683503568,-15.09608459,Out,NA,-15.09608459
189,000000392887.jpg,car,airplane,0.99692148,-18.52359009,Out,NA,-18.52359009
190,000000523154.jpg,airplane,airplane,0.999333441,92.2963028,In,92.2963028,NA
191,000000060671.jpg,car,airplane,0.846478283,1.836090088,Out,NA,1.836090088
192,000000555905.jpg,laptop,horse,0.992767215,10.26130295,Out,NA,10.26130295
193,000000097801.jpg,cake,horse,0.672866583,-43.55974579,Out,NA,-43.55974579
194,000000227709.jpg,cat,airplane,0.699720621,-18.69145203,Out,NA,-18.69145203
195,000000253212.jpg,book,horse,0.997244596,4.974319458,Out,NA,4.974319458
196,000000260275.jpg,car,airplane,0.820908666,-23.73155975,Out,NA,-23.73155975
197,000000366830.jpg,horse,horse,0.969058931,-41.11414337,In,-41.11414337,NA
198,000000063553.jpg,cat,horse,0.919879973,-39.43157196,Out,NA,-39.43157196
199,000000113244.jpg,cake,horse,0.646502316,-92.68159485,Out,NA,-92.68159485
200,000000228185.jpg,cat,airplane,0.714585006,-49.1424408,Out,NA,-49.1424408
201,000000515422.jpg,airplane,horse,0.703260481,-26.79446411,In,-26.79446411,NA
202,000000071678.jpg,pizza,horse,0.733487785,-29.87360382,Out,NA,-29.87360382
203,000000188847.jpg,car,airplane,0.634829342,-7.07094574,Out,NA,-7.07094574
204,000000518627.jpg,car,airplane,0.587093651,-47.24658203,Out,NA,-47.24658203
205,000000581249.jpg,cat,horse,0.998152554,-26.59889984,Out,NA,-26.59889984
206,000000040685.jpg,cat,horse,0.888854325,-34.80216217,Out,NA,-34.80216217
207,000000357493.jpg,car,horse,0.958167076,-39.1341095,Out,NA,-39.1341095
208,000000227216.jpg,car,horse,0.978101134,-60.36933899,Out,NA,-60.36933899
209,000000243895.jpg,airplane,airplane,0.999985099,-18.54088593,In,-18.54088593,NA
210,000000334463.jpg,book,horse,0.99430424,-17.20750427,Out,NA,-17.20750427
211,000000203707.jpg,cake,horse,0.916938663,-95.31576538,Out,NA,-95.31576538
212,000000147259.jpg,dog,horse,0.948193073,-41.14000702,Out,NA,-41.14000702
213,000000113326.jpg,cake,horse,0.984806001,-30.55500793,Out,NA,-30.55500793
214,000000408235.jpg,cat,horse,0.896172345,-18.94908142,Out,NA,-18.94908142
215,000000032095.jpg,pizza,airplane,0.863730788,-61.94755554,Out,NA,-61.94755554
216,000000065139.jpg,car,airplane,0.834160984,-4.036354065,Out,NA,-4.036354065
217,000000580388.jpg,book,airplane,0.78279388,-57.57447815,Out,NA,-57.57447815
218,000000224869.jpg,car,horse,0.995525777,-51.19285583,Out,NA,-51.19285583
219,000000388820.jpg,car,airplane,0.990741909,15.2966156,Out,NA,15.2966156
220,000000318646.jpg,book,horse,0.998292506,-31.80026245,Out,NA,-31.80026245
221,000000359908.jpg,cat,horse,0.84166187,-22.64549255,Out,NA,-22.64549255
222,000000457168.jpg,pizza,horse,0.500678897,-62.73982239,Out,NA,-62.73982239
223,000000120860.jpg,dog,horse,0.992382824,-11.56126404,Out,NA,-11.56126404
224,000000029155.jpg,car,airplane,0.8179335,-18.65089417,Out,NA,-18.65089417
225,000000194034.jpg,car,airplane,0.675091863,-28.76385498,Out,NA,-28.76385498
226,000000549773.jpg,car,horse,0.668733656,-12.57602692,Out,NA,-12.57602692
227,000000080213.jpg,cat,horse,0.985984147,-16.52446747,Out,NA,-16.52446747
228,000000507494.jpg,airplane,airplane,0.999646306,84.44324493,In,84.44324493,NA
229,000000114515.jpg,laptop,horse,0.905715942,-13.64517975,Out,NA,-13.64517975
230,000000352938.jpg,car,airplane,0.8641873,-18.20360565,Out,NA,-18.20360565
231,000000385378.jpg,car,horse,0.969280839,-5.362663269,Out,NA,-5.362663269
232,000000225558.jpg,car,airplane,0.999867439,67.23866272,Out,NA,67.23866272
233,000000416078.jpg,laptop,horse,0.919557691,-69.61950684,Out,NA,-69.61950684
234,000000072657.jpg,dog,horse,0.999578059,-50.03076935,Out,NA,-50.03076935
235,000000420963.jpg,car,airplane,0.597363412,-47.34457397,Out,NA,-47.34457397
236,000000343404.jpg,cat,horse,0.999924183,-48.63896942,Out,NA,-48.63896942
237,000000309568.jpg,cat,airplane,0.72900176,-28.55416107,Out,NA,-28.55416107
238,000000040414.jpg,cat,horse,0.993730187,-15.86747742,Out,NA,-15.86747742
239,000000441462.jpg,pizza,horse,0.529132605,-47.79673004,Out,NA,-47.79673004
240,000000458401.jpg,dog,horse,0.999691606,-42.96409607,Out,NA,-42.96409607
241,000000285883.jpg,book,horse,0.987504959,-49.87194061,Out,NA,-49.87194061
242,000000171468.jpg,dog,horse,0.96421957,-33.74006653,Out,NA,-33.74006653
243,000000006562.jpg,airplane,horse,0.939834237,-47.06952667,In,-47.06952667,NA
244,000000137918.jpg,laptop,airplane,0.899603844,-18.35227966,Out,NA,-18.35227966
245,000000440663.jpg,cat,airplane,0.970578611,-85.46401978,Out,NA,-85.46401978
246,000000351210.jpg,book,horse,0.999880075,-39.85881805,Out,NA,-39.85881805
247,000000518083.jpg,car,airplane,0.953907132,-11.32920074,Out,NA,-11.32920074
248,000000420398.jpg,car,horse,0.946268737,-24.15776062,Out,NA,-24.15776062
249,000000418229.jpg,car,airplane,0.985349119,-25.34661865,Out,NA,-25.34661865
250,000000374860.jpg,laptop,horse,0.982581854,-20.32190704,Out,NA,-20.32190704
251,000000551100.jpg,car,horse,0.950212598,-34.84594727,Out,NA,-34.84594727
252,000000029254.jpg,car,airplane,0.508406401,-63.86914063,Out,NA,-63.86914063
253,000000290600.jpg,car,airplane,0.549606204,-7.327461243,Out,NA,-7.327461243
254,000000457342.jpg,book,horse,0.989363253,-26.77297974,Out,NA,-26.77297974
255,000000355569.jpg,car,horse,0.837374449,-18.54292297,Out,NA,-18.54292297
256,000000302855.jpg,book,airplane,0.549529374,-3.771430969,Out,NA,-3.771430969
257,000000170780.jpg,book,horse,0.992108762,-46.35516357,Out,NA,-46.35516357
258,000000277918.jpg,horse,horse,0.999196112,50.78540802,In,50.78540802,NA
259,000000191869.jpg,car,horse,0.668990493,-46.10704041,Out,NA,-46.10704041
260,000000564418.jpg,cake,horse,0.990884006,-69.45280457,Out,NA,-69.45280457
261,000000024132.jpg,laptop,airplane,0.968178928,-10.55233002,Out,NA,-10.55233002
262,000000319649.jpg,car,horse,0.629398465,8.761573792,Out,NA,8.761573792
263,000000334772.jpg,zebra,horse,0.999221444,7.686130524,Out,NA,7.686130524
264,000000424470.jpg,laptop,airplane,0.847880304,-52.52062988,Out,NA,-52.52062988
265,000000146826.jpg,dog,horse,0.921363652,-29.33291626,Out,NA,-29.33291626
266,000000106100.jpg,cake,horse,0.984600127,-2.479782104,Out,NA,-2.479782104
267,000000360178.jpg,cat,horse,0.992675722,-10.08956146,Out,NA,-10.08956146
268,000000360191.jpg,car,horse,0.989683509,-14.55704498,Out,NA,-14.55704498
269,000000519838.jpg,car,horse,0.99805069,-31.62957764,Out,NA,-31.62957764
270,000000547460.jpg,zebra,horse,0.99928838,9.782119751,Out,NA,9.782119751
271,000000137413.jpg,cat,horse,0.987626374,-34.27919006,Out,NA,-34.27919006
272,000000563261.jpg,cake,horse,0.985969067,-15.07815552,Out,NA,-15.07815552
273,000000007830.jpg,laptop,airplane,0.994958997,-44.00230408,Out,NA,-44.00230408
274,000000359133.jpg,car,horse,0.964931846,-47.09398651,Out,NA,-47.09398651
275,000000204683.jpg,cake,airplane,0.989770055,-61.93284607,Out,NA,-61.93284607
276,000000105247.jpg,pizza,horse,0.613586366,-54.60153961,Out,NA,-54.60153961
277,000000286166.jpg,horse,horse,0.999851942,-7.610092163,In,-7.610092163,NA
278,000000423875.jpg,car,horse,0.702319801,4.829444885,Out,NA,4.829444885
279,000000229352.jpg,car,airplane,0.972456813,-11.95098877,Out,NA,-11.95098877
280,000000358462.jpg,car,horse,0.99933511,51.01848221,Out,NA,51.01848221
281,000000548428.jpg,airplane,airplane,0.999875426,46.24897385,In,46.24897385,NA
282,000000387161.jpg,car,airplane,0.999841332,48.99541473,Out,NA,48.99541473
283,000000416325.jpg,book,horse,0.999405146,-42.83383179,Out,NA,-42.83383179
284,000000007522.jpg,zebra,horse,0.999318361,20.43808746,Out,NA,20.43808746
285,000000309872.jpg,dog,horse,0.962225318,-78.87902832,Out,NA,-78.87902832
286,000000326058.jpg,horse,horse,0.999842882,-65.29898071,In,-65.29898071,NA
287,000000097210.jpg,cake,horse,0.999777138,-7.077331543,Out,NA,-7.077331543
288,000000376472.jpg,cat,horse,0.838644445,-63.59353638,Out,NA,-63.59353638
289,000000352107.jpg,dog,horse,0.890914977,5.297527313,Out,NA,5.297527313
290,000000171090.jpg,zebra,horse,0.999360144,17.14199066,Out,NA,17.14199066
291,000000220216.jpg,book,horse,0.801218331,-38.83355713,Out,NA,-38.83355713
292,000000030448.jpg,car,airplane,0.99526608,-41.05091858,Out,NA,-41.05091858
293,000000448558.jpg,book,horse,0.941115975,-22.77256775,Out,NA,-22.77256775
294,000000368219.jpg,cake,horse,0.900427818,-60.51086426,Out,NA,-60.51086426
295,000000390288.jpg,car,airplane,0.847365201,-7.707069397,Out,NA,-7.707069397
296,000000564073.jpg,airplane,airplane,0.999883056,27.2210083,In,27.2210083,NA
297,000000432339.jpg,pizza,airplane,0.767462969,-1.264472961,Out,NA,-1.264472961
298,000000276797.jpg,airplane,airplane,0.999905109,92.79039764,In,92.79039764,NA
299,000000294892.jpg,car,horse,0.728823364,5.067024231,Out,NA,5.067024231
300,000000196311.jpg,book,horse,0.965035439,-16.23243713,Out,NA,-16.23243713
301,000000458321.jpg,laptop,airplane,0.548502088,-23.6021347,Out,NA,-23.6021347
302,000000442097.jpg,book,horse,0.999165893,-26.62957001,Out,NA,-26.62957001
303,000000499512.jpg,airplane,airplane,0.999543369,-30.7976532,In,-30.7976532,NA
304,000000129328.jpg,zebra,horse,0.999201834,17.53541946,Out,NA,17.53541946
305,000000351203.jpg,cat,horse,0.998401225,-31.47819519,Out,NA,-31.47819519
306,000000580827.jpg,book,horse,0.995161951,6.894714355,Out,NA,6.894714355
307,000000425859.jpg,book,horse,0.958869755,-32.65863037,Out,NA,-32.65863037
308,000000309531.jpg,airplane,horse,0.994094312,-20.53581238,In,-20.53581238,NA
309,000000212403.jpg,horse,horse,0.999115288,-35.35244751,In,-35.35244751,NA
310,000000064834.jpg,laptop,airplane,0.826268613,-8.057670593,Out,NA,-8.057670593
311,000000097380.jpg,cat,airplane,0.723758221,-21.68383789,Out,NA,-21.68383789
312,000000489900.jpg,car,horse,0.784695745,-33.66319275,Out,NA,-33.66319275
313,000000342921.jpg,horse,horse,0.999985695,-40.93637085,In,-40.93637085,NA
314,000000335301.jpg,book,airplane,0.50575465,-28.20594788,Out,NA,-28.20594788
315,000000310861.jpg,zebra,horse,0.999540448,-3.419685364,Out,NA,-3.419685364
316,000000106043.jpg,zebra,horse,0.99932313,-1.558578491,Out,NA,-1.558578491
317,000000325710.jpg,pizza,airplane,0.690077484,-32.29014587,Out,NA,-32.29014587
318,000000547769.jpg,pizza,horse,0.813524544,-22.72796631,Out,NA,-22.72796631
319,000000474390.jpg,airplane,airplane,0.999447405,105.6000671,In,105.6000671,NA
320,000000125829.jpg,car,horse,0.868139327,-23.02752686,Out,NA,-23.02752686
321,000000452087.jpg,car,horse,0.635031283,1.958930969,Out,NA,1.958930969
322,000000531395.jpg,horse,horse,0.990135849,0.21496582,In,0.21496582,NA
323,000000094210.jpg,car,airplane,0.881637692,-125.6923065,Out,NA,-125.6923065
324,000000157133.jpg,car,airplane,0.946169496,-30.03610229,Out,NA,-30.03610229
