,Item_Number,file,Correct_Category,Estimated_Category,Max_Softmax_Value,Likelihood,In-vs-Out,In-Likelihood,Out-Likelihood,Mean_Part,Min_Part,Quarter_Part,
0,112,000000564330.jpg,cat,horse,0.999999523,-133.3330994,Out,NA,-133.3330994,Out,Out,Out,
0,113,000000556739.jpg,car,airplane,0.903821528,-18.90808105,Out,NA,-18.90808105,Out,Out,In,
0,114,000000320333.jpg,car,airplane,0.999999881,34.59104919,Out,NA,34.59104919,In,In,In,
0,115,000000291048.jpg,car,airplane,0.998501062,-78.03712463,Out,NA,-78.03712463,Out,Out,Out,
0,116,000000564611.jpg,cat,horse,0.99999404,-87.34020996,Out,NA,-87.34020996,Out,Out,Out,
0,117,000000457384.jpg,cat,horse,0.964411914,-77.95739746,Out,NA,-77.95739746,Out,Out,Out,
0,118,000000522708.jpg,car,horse,0.946130097,-49.99049377,Out,NA,-49.99049377,Out,Out,In,
0,119,000000040842.jpg,laptop,airplane,0.862309039,-65.4425354,Out,NA,-65.4425354,Out,Out,Out,
0,120,000000355657.jpg,car,airplane,1,-28.98664856,Out,NA,-28.98664856,Out,Out,In,
0,121,000000360346.jpg,airplane,airplane,1,92.7164917,In,92.7164917,NA,In,In,In,
0,122,000000191042.jpg,car,airplane,0.992903173,-48.93933105,Out,NA,-48.93933105,Out,Out,In,
0,123,000000027104.jpg,car,airplane,0.996447146,-85.09480286,Out,NA,-85.09480286,Out,Out,Out,
0,124,000000032677.jpg,cat,horse,0.797704279,-85.04360962,Out,NA,-85.04360962,Out,Out,Out,
0,125,000000419056.jpg,car,airplane,0.773829341,-58.91049194,Out,NA,-58.91049194,Out,Out,Out,
0,126,000000245345.jpg,cake,horse,0.999993682,-133.791687,Out,NA,-133.791687,Out,Out,Out,
0,127,000000523278.jpg,pizza,airplane,0.895871758,-85.45930481,Out,NA,-85.45930481,Out,Out,Out,
0,128,000000225848.jpg,car,horse,0.987734377,-61.40060425,Out,NA,-61.40060425,Out,Out,Out,
0,129,000000121229.jpg,cat,airplane,0.999539018,-100.5729828,Out,NA,-100.5729828,Out,Out,Out,
0,130,000000055809.jpg,dog,horse,1,-105.9246521,Out,NA,-105.9246521,Out,Out,Out,
0,131,000000481974.jpg,horse,horse,0.999096394,-59.18988037,In,-59.18988037,NA,Out,Out,Out,
0,132,000000507224.jpg,laptop,horse,0.999999881,-102.4416504,Out,NA,-102.4416504,Out,Out,Out,
0,133,000000555574.jpg,cat,airplane,0.999963403,-126.9849701,Out,NA,-126.9849701,Out,Out,Out,
0,134,000000522405.jpg,cat,airplane,0.990617573,-79.03782654,Out,NA,-79.03782654,Out,Out,Out,
0,135,000000073567.jpg,dog,horse,0.999965191,-134.6873169,Out,NA,-134.6873169,Out,Out,Out,
0,136,000000571773.jpg,cat,airplane,0.791300774,-41.28334045,Out,NA,-41.28334045,Out,Out,In,
0,137,000000473720.jpg,pizza,horse,0.983890474,-72.77505493,Out,NA,-72.77505493,Out,Out,Out,
0,138,000000556694.jpg,horse,horse,0.999313116,12.11834717,In,12.11834717,NA,In,In,In,
0,139,000000032284.jpg,car,airplane,0.995200634,-57.06906128,Out,NA,-57.06906128,Out,Out,Out,
0,140,000000384986.jpg,zebra,horse,0.999902725,77.6462326,Out,NA,77.6462326,In,In,In,
0,141,000000106326.jpg,zebra,horse,0.998390675,61.90222168,Out,NA,61.90222168,In,In,In,
0,142,000000235945.jpg,book,horse,0.9999547,-83.6342926,Out,NA,-83.6342926,Out,Out,Out,
0,143,000000563763.jpg,cake,horse,0.823328376,-110.93573,Out,NA,-110.93573,Out,Out,Out,
0,144,000000178431.jpg,dog,horse,0.999827087,-74.46487427,Out,NA,-74.46487427,Out,Out,Out,
0,145,000000384935.jpg,dog,airplane,0.996343672,-17.89860535,Out,NA,-17.89860535,Out,Out,In,
0,146,000000064629.jpg,airplane,airplane,0.999997854,117.7765198,In,117.7765198,NA,In,In,In,
0,147,000000253335.jpg,horse,horse,1,-6.71182251,In,-6.71182251,NA,In,In,In,
0,148,000000292146.jpg,car,airplane,0.849984825,-53.83920288,Out,NA,-53.83920288,Out,Out,Out,
0,149,000000285499.jpg,airplane,airplane,0.999999404,34.61689758,In,34.61689758,NA,In,In,In,
0,150,000000400642.jpg,dog,horse,0.649319172,-90.49794006,Out,NA,-90.49794006,Out,Out,Out,
0,151,000000062276.jpg,car,airplane,0.999628901,10.67460632,Out,NA,10.67460632,In,In,In,
0,152,000000326517.jpg,airplane,airplane,0.999999642,82.3033905,In,82.3033905,NA,In,In,In,
0,153,000000058651.jpg,car,horse,0.963928163,-9.460067749,Out,NA,-9.460067749,In,In,In,
0,154,000000523594.jpg,dog,airplane,0.999985814,-74.62739563,Out,NA,-74.62739563,Out,Out,Out,
0,155,000000392717.jpg,car,horse,0.999978185,-82.11462402,Out,NA,-82.11462402,Out,Out,Out,
0,156,000000072715.jpg,book,horse,0.610375404,-47.5927887,Out,NA,-47.5927887,Out,Out,In,
0,157,000000203778.jpg,cat,airplane,0.999979138,-59.2142334,Out,NA,-59.2142334,Out,Out,Out,
0,158,000000155549.jpg,dog,horse,1,-90.70275879,Out,NA,-90.70275879,Out,Out,Out,
0,159,000000498856.jpg,book,horse,0.980337977,-97.36257935,Out,NA,-97.36257935,Out,Out,Out,
0,160,000000032597.jpg,cat,airplane,0.548926413,-62.3421936,Out,NA,-62.3421936,Out,Out,Out,
0,161,000000121902.jpg,cake,airplane,0.99993813,-117.1154022,Out,NA,-117.1154022,Out,Out,Out,
0,162,000000113293.jpg,laptop,horse,0.937580526,-8.180648804,Out,NA,-8.180648804,In,In,In,
0,163,000000155448.jpg,book,airplane,0.904879272,-79.78578186,Out,NA,-79.78578186,Out,Out,Out,
0,164,000000491440.jpg,car,airplane,0.999903202,-90.25068665,Out,NA,-90.25068665,Out,Out,Out,
0,165,000000522704.jpg,laptop,airplane,0.998550713,-97.82331848,Out,NA,-97.82331848,Out,Out,Out,
0,166,000000400525.jpg,laptop,airplane,0.999917507,-30.7815094,Out,NA,-30.7815094,Out,Out,In,
0,167,000000458027.jpg,car,horse,1,-110.3296509,Out,NA,-110.3296509,Out,Out,Out,
0,168,000000581499.jpg,airplane,airplane,1,79.67984009,In,79.67984009,NA,In,In,In,
0,169,000000515895.jpg,horse,horse,0.999951482,-61.67126465,In,-61.67126465,NA,Out,Out,Out,
0,170,000000064710.jpg,dog,horse,1,-19.10244751,Out,NA,-19.10244751,Out,Out,In,
0,171,000000556492.jpg,car,horse,0.999998808,-45.56607056,Out,NA,-45.56607056,Out,Out,In,
0,172,000000170706.jpg,airplane,airplane,0.999981046,131.7781067,In,131.7781067,NA,In,In,In,
0,173,000000253773.jpg,cat,horse,0.995094419,-150.4742737,Out,NA,-150.4742737,Out,Out,Out,
0,174,000000138189.jpg,book,airplane,0.999984026,-64.23007202,Out,NA,-64.23007202,Out,Out,Out,
0,175,000000112887.jpg,cake,airplane,0.755354822,-78.21470642,Out,NA,-78.21470642,Out,Out,Out,
0,176,000000554114.jpg,car,horse,0.994116068,-110.7674866,Out,NA,-110.7674866,Out,Out,Out,
0,177,000000518667.jpg,car,horse,0.999477565,-25.55090332,Out,NA,-25.55090332,Out,Out,In,
0,178,000000487059.jpg,car,horse,0.947317481,-22.04690552,Out,NA,-22.04690552,Out,Out,In,
0,179,000000465269.jpg,book,horse,0.999120176,-89.09793091,Out,NA,-89.09793091,Out,Out,Out,
0,180,000000432397.jpg,airplane,airplane,1,26.85140991,In,26.85140991,NA,In,In,In,
0,181,000000093853.jpg,car,airplane,0.974474072,-155.7884674,Out,NA,-155.7884674,Out,Out,Out,
0,182,000000352194.jpg,car,horse,0.999993324,-80.10977173,Out,NA,-80.10977173,Out,Out,Out,
0,183,000000319346.jpg,horse,horse,0.999999642,27.50042725,In,27.50042725,NA,In,In,In,
0,184,000000564204.jpg,dog,horse,0.999759257,-110.93927,Out,NA,-110.93927,Out,Out,Out,
0,185,000000056435.jpg,laptop,airplane,0.999998569,-70.14247131,Out,NA,-70.14247131,Out,Out,Out,
0,186,000000026319.jpg,car,airplane,0.999463141,-44.6007843,Out,NA,-44.6007843,Out,Out,In,
0,187,000000442287.jpg,cake,horse,0.684506655,-130.8298645,Out,NA,-130.8298645,Out,Out,Out,
0,188,000000114504.jpg,dog,airplane,0.616453409,-78.5995636,Out,NA,-78.5995636,Out,Out,Out,
0,189,000000392887.jpg,car,airplane,1,-101.4972076,Out,NA,-101.4972076,Out,Out,Out,
0,190,000000523154.jpg,airplane,airplane,0.99999547,103.2444153,In,103.2444153,NA,In,In,In,
0,191,000000060671.jpg,car,airplane,0.999872684,-91.7936554,Out,NA,-91.7936554,Out,Out,Out,
0,192,000000555905.jpg,laptop,horse,0.999869585,-28.94921875,Out,NA,-28.94921875,Out,Out,In,
0,193,000000097801.jpg,cake,airplane,0.980163872,-103.205368,Out,NA,-103.205368,Out,Out,Out,
0,194,000000227709.jpg,cat,airplane,0.999951124,-95.21235657,Out,NA,-95.21235657,Out,Out,Out,
0,195,000000253212.jpg,book,horse,0.993903697,-30.16452026,Out,NA,-30.16452026,Out,Out,In,
0,196,000000260275.jpg,car,airplane,1,12.10591125,Out,NA,12.10591125,In,In,In,
0,197,000000366830.jpg,horse,horse,0.807966411,-35.78453064,In,-35.78453064,NA,Out,Out,In,
0,198,000000063553.jpg,cat,airplane,0.998565018,-110.3550568,Out,NA,-110.3550568,Out,Out,Out,
0,199,000000113244.jpg,cake,airplane,0.851633608,-131.4077301,Out,NA,-131.4077301,Out,Out,Out,
0,200,000000228185.jpg,cat,airplane,0.99999547,-108.1765594,Out,NA,-108.1765594,Out,Out,Out,
0,201,000000515422.jpg,airplane,airplane,0.894104838,-9.408615112,In,-9.408615112,NA,In,In,In,
0,202,000000071678.jpg,pizza,airplane,0.992625892,-105.2210846,Out,NA,-105.2210846,Out,Out,Out,
0,203,000000188847.jpg,car,airplane,0.902353764,16.58753967,Out,NA,16.58753967,In,In,In,
0,204,000000518627.jpg,car,airplane,0.656735241,-102.474472,Out,NA,-102.474472,Out,Out,Out,
0,205,000000581249.jpg,cat,horse,0.999997258,-107.0288391,Out,NA,-107.0288391,Out,Out,Out,
0,206,000000040685.jpg,cat,airplane,0.996213496,-119.7077179,Out,NA,-119.7077179,Out,Out,Out,
0,207,000000357493.jpg,car,horse,0.999833345,-90.04878235,Out,NA,-90.04878235,Out,Out,Out,
0,208,000000227216.jpg,car,airplane,0.907341897,-70.34938049,Out,NA,-70.34938049,Out,Out,Out,
0,209,000000243895.jpg,airplane,airplane,1,-52.72514343,In,-52.72514343,NA,Out,Out,Out,
0,210,000000334463.jpg,book,horse,0.996417046,-31.80422974,Out,NA,-31.80422974,Out,Out,In,
0,211,000000203707.jpg,cake,airplane,0.884405196,-89.72038269,Out,NA,-89.72038269,Out,Out,Out,
0,212,000000147259.jpg,dog,horse,0.925594032,-65.12280273,Out,NA,-65.12280273,Out,Out,Out,
0,213,000000113326.jpg,cake,airplane,0.996322751,-114.8431549,Out,NA,-114.8431549,Out,Out,Out,
0,214,000000408235.jpg,cat,airplane,0.975117028,-120.558609,Out,NA,-120.558609,Out,Out,Out,
0,215,000000032095.jpg,pizza,airplane,0.999983668,-140.6909943,Out,NA,-140.6909943,Out,Out,Out,
0,216,000000065139.jpg,car,airplane,1,-62.24880981,Out,NA,-62.24880981,Out,Out,Out,
0,217,000000580388.jpg,book,airplane,0.999997377,-67.16920471,Out,NA,-67.16920471,Out,Out,Out,
0,218,000000224869.jpg,car,horse,0.999715269,-58.67919922,Out,NA,-58.67919922,Out,Out,Out,
0,219,000000388820.jpg,car,airplane,0.999999881,-4.198501587,Out,NA,-4.198501587,In,In,In,
0,220,000000318646.jpg,book,horse,0.97603339,-104.8798218,Out,NA,-104.8798218,Out,Out,Out,
0,221,000000359908.jpg,cat,airplane,0.993335009,-107.8608856,Out,NA,-107.8608856,Out,Out,Out,
0,222,000000457168.jpg,pizza,airplane,0.999490857,-137.5247345,Out,NA,-137.5247345,Out,Out,Out,
0,223,000000120860.jpg,dog,horse,0.995792508,-128.211792,Out,NA,-128.211792,Out,Out,Out,
0,224,000000029155.jpg,car,airplane,0.999985576,-61.38381958,Out,NA,-61.38381958,Out,Out,Out,
0,225,000000194034.jpg,car,airplane,0.999999404,-36.08210754,Out,NA,-36.08210754,Out,Out,In,
0,226,000000549773.jpg,car,airplane,0.998948395,-52.27079773,Out,NA,-52.27079773,Out,Out,Out,
0,227,000000080213.jpg,cat,horse,0.961494863,-74.88739014,Out,NA,-74.88739014,Out,Out,Out,
0,228,000000507494.jpg,airplane,airplane,0.999999166,106.9160767,In,106.9160767,NA,In,In,In,
0,229,000000114515.jpg,laptop,horse,0.950205266,-74.2015686,Out,NA,-74.2015686,Out,Out,Out,
0,230,000000352938.jpg,car,airplane,0.993974388,-52.45565796,Out,NA,-52.45565796,Out,Out,Out,
0,231,000000385378.jpg,car,airplane,0.706697822,-66.21244812,Out,NA,-66.21244812,Out,Out,Out,
0,232,000000225558.jpg,car,airplane,1,99.02291107,Out,NA,99.02291107,In,In,In,
0,233,000000416078.jpg,laptop,horse,0.549429059,-111.4390564,Out,NA,-111.4390564,Out,Out,Out,
0,234,000000072657.jpg,dog,horse,0.999250948,-131.2478027,Out,NA,-131.2478027,Out,Out,Out,
0,235,000000420963.jpg,car,airplane,0.887714505,-80.41111755,Out,NA,-80.41111755,Out,Out,Out,
0,236,000000343404.jpg,cat,horse,1,-119.8739014,Out,NA,-119.8739014,Out,Out,Out,
0,237,000000309568.jpg,cat,airplane,0.996874332,-117.8789825,Out,NA,-117.8789825,Out,Out,Out,
0,238,000000040414.jpg,cat,horse,0.989851832,-79.38308716,Out,NA,-79.38308716,Out,Out,Out,
0,239,000000441462.jpg,pizza,airplane,0.998900294,-130.0059967,Out,NA,-130.0059967,Out,Out,Out,
0,240,000000458401.jpg,dog,horse,1,-97.2897644,Out,NA,-97.2897644,Out,Out,Out,
0,241,000000285883.jpg,book,horse,0.987278342,-85.79934692,Out,NA,-85.79934692,Out,Out,Out,
0,242,000000171468.jpg,dog,airplane,0.999303102,-119.6826935,Out,NA,-119.6826935,Out,Out,Out,
0,243,000000006562.jpg,airplane,airplane,0.996225595,-88.34712219,In,-88.34712219,NA,Out,Out,Out,
0,244,000000137918.jpg,laptop,airplane,0.999998331,-52.48399353,Out,NA,-52.48399353,Out,Out,Out,
0,245,000000440663.jpg,cat,horse,0.548190534,-141.1832275,Out,NA,-141.1832275,Out,Out,Out,
0,246,000000351210.jpg,book,horse,1,-117.791748,Out,NA,-117.791748,Out,Out,Out,
0,247,000000518083.jpg,car,airplane,0.999996901,-63.30838013,Out,NA,-63.30838013,Out,Out,Out,
0,248,000000420398.jpg,car,airplane,0.981066227,-179.5807648,Out,NA,-179.5807648,Out,Out,Out,
0,249,000000418229.jpg,car,airplane,1,-34.45698547,Out,NA,-34.45698547,Out,Out,In,
0,250,000000374860.jpg,laptop,horse,0.972903669,-144.4841309,Out,NA,-144.4841309,Out,Out,Out,
0,251,000000551100.jpg,car,horse,0.768620253,-31.99655151,Out,NA,-31.99655151,Out,Out,In,
0,252,000000029254.jpg,car,airplane,0.933129668,-39.65037537,Out,NA,-39.65037537,Out,Out,In,
0,253,000000290600.jpg,car,horse,0.98153162,-86.1309967,Out,NA,-86.1309967,Out,Out,Out,
0,254,000000457342.jpg,book,horse,0.998381376,-39.43305969,Out,NA,-39.43305969,Out,Out,In,
0,255,000000355569.jpg,car,horse,0.841503978,-17.77870178,Out,NA,-17.77870178,Out,Out,In,
0,256,000000302855.jpg,book,airplane,0.999481738,-113.4343109,Out,NA,-113.4343109,Out,Out,Out,
